episode,epsilon,total_reward,steps,exit_reason
0,1,-45554.33911125761,95,terminated
1,1,-39720.84737606135,88,terminated
2,1,-36412.91331939336,85,terminated
3,1,-35531.67228983633,83,terminated
4,1,-39823.30013219246,90,terminated
5,1,-38765.436753549046,89,terminated
6,1,-36991.53528904533,88,terminated
7,1,-41005.434924157045,93,terminated
8,1,-37986.15008931996,86,terminated
9,1,-33343.968046557784,81,terminated
10,1,-38428.79142163348,90,terminated
11,0.9841233822412228,-39960.15610606144,88,terminated
12,0.9436362600491477,-35108.5240437636,84,terminated
13,0.9025550137719651,-41153.53405711014,89,terminated
14,0.8636940884108993,-39226.949605155896,88,terminated
15,0.8294049478673904,-33318.215147986855,81,terminated
16,0.797673016837708,-33292.38249413689,78,terminated
17,0.7679228381750823,-34946.41279325742,76,terminated
18,0.7385431309527595,-32156.40295033036,78,terminated
19,0.7081592517292976,-30614.39727886416,84,terminated
20,0.6776683415850061,-33650.28037208152,88,terminated
21,0.651415780628642,-24960.076332558034,79,terminated
22,0.6249288103449504,-28144.638732561885,83,terminated
23,0.6037312278677203,-24443.252840633973,69,terminated
24,0.582669560440043,-26197.713150024294,71,terminated
25,0.5626239588265294,-22306.473210894077,70,terminated
26,0.5421822654152153,-23655.34681175191,74,terminated
27,0.523529549652583,-21494.19510234565,70,terminated
28,0.505518543933814,-22538.632365380297,70,terminated
29,0.48472136399891924,-29141.076823203315,84,terminated
30,0.4680454776716099,-20192.28113632026,70,terminated
31,0.4517173208085568,-22400.631168827666,71,terminated
32,0.4346525427162186,-23095.87041681421,77,terminated
33,0.4196991758284578,-20860.163820452115,70,terminated
34,0.40364204313971874,-24190.067014776134,78,terminated
35,0.3899505068253519,-20267.727202948816,69,terminated
36,0.3771003934804696,-18265.322982956557,67,terminated
37,0.3648561604490727,-20110.024815892342,66,terminated
38,0.3526565693883685,-20103.263495944037,68,terminated
39,0.34086489256396296,-19048.22024102339,68,terminated
40,0.3293027569188988,-20491.683412112485,69,terminated
41,0.31845118043130805,-18505.028989529,67,terminated
42,0.3081112536379772,-19006.60573616761,66,terminated
43,0.29795800479541346,-21066.49430006917,67,terminated
44,0.2882834796361762,-18128.280383489855,66,terminated
45,0.2773928332494655,-20808.33986499115,77,terminated
46,0.2686546348613427,-17445.79060290065,64,terminated
47,0.2599315732812503,-18626.816674301434,66,terminated
48,0.2516175532735713,-17238.954811443564,65,terminated
49,0.24356946067061477,-17361.53378530208,65,terminated
50,0.23542529829330847,-18380.04525585395,68,terminated
51,0.2266448274260672,-22500.2029779582,76,terminated
52,0.21939549789648974,-16732.89370233193,65,terminated
53,0.21280332876063043,-16212.051148746024,61,terminated
54,0.20517417898540657,-18967.853854890047,73,terminated
