power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward,episode,step,total_reward
879.2673444555638,3.977738082306145,15.0,0.009944345205765363,9438.2159912,3.977738082306145,6,553.7840087999999,-944.8215991200001,0,1,-944.8215991200001
795.435403217506,5.354129136277132,15.0,0.023329668046458193,8792.948646744437,9.331867218583277,10,879.2673444555638,-880.2948646744437,0,2,-1825.116463794444
784.929452586433,4.567066118590562,15.0,0.034747333342934596,8708.774485457434,13.898933337173839,4,318.1741612870024,-871.8774485457434,0,3,-2696.9939123401873
775.0398990031595,3.950598768179406,15.0,0.04462383026338311,8628.80270442286,17.849532105353244,4,313.9717810345732,-863.880270442286,0,4,-3560.8741827824733
728.5612643297795,4.597084411989312,15.0,0.05611654129335639,8242.770785220333,22.446616517342555,8,620.0319192025277,-825.2770785220333,0,5,-4386.151261304507
688.3540268709498,4.84398489632221,15.0,0.06822650353416192,7893.9217737565095,27.290601413664767,8,582.8490114638237,-790.392177375651,0,6,-5176.543438680158
691.0033142120162,3.2060252418096185,15.0,0.07624156663868596,7917.371141860314,30.496626655474387,1,68.83540268709498,-792.7371141860315,0,7,-5969.280552866189
692.9687009307297,2.104282491211801,15.0,0.08150227286671546,7934.723303596467,32.600909146686185,2,138.20066284240326,-794.4723303596468,0,8,-6763.752883225836
680.3031052713725,2.821820777385921,15.0,0.08855682481018028,7822.238953131103,35.42272992407211,5,346.48435046536486,-783.2238953131103,0,9,-7546.976778538946
646.2882285213375,3.8630386705326414,15.0,0.09821442148651187,7511.996468914005,39.28576859460475,8,544.242484217098,-752.1996468914006,0,10,-8299.176425430347
629.9280889308135,3.7546715076127493,15.0,0.10760110025554374,7358.223531801203,43.040440102217495,6,387.7729371128025,-736.8223531801203,0,11,-9035.998778610467
633.0409769994474,1.5948677181112623,15.0,0.11158826955082189,7387.723531801203,44.635307820328755,0,0.0,-739.7723531801203,0,12,-9775.771131790587
624.3639075266217,2.603712181102163,15.0,0.11809755000357729,7305.203043301479,47.239020001430916,5,316.5204884997237,-731.520304330148,0,13,-10507.291436120735
626.8789300022831,0.8089837268412204,15.0,0.12012000932068034,7329.21488455432,48.048003728272136,1,62.43639075266217,-733.921488455432,0,14,-11241.212924576166
618.5891889026746,2.6794557455369885,15.0,0.1268186486845228,7249.775419553178,50.72745947380913,5,313.43946500114157,-725.9775419553179,0,15,-11967.190466531483
585.819885370378,3.865412221861554,15.0,0.13648217923917672,6927.045149540771,54.59287169567068,9,556.7302700124071,-693.7045149540771,0,16,-12660.89498148556
568.5565216458608,3.8399704994450405,15.0,0.1460821054877893,6750.971229781506,58.43284219511572,7,410.0739197592645,-676.0971229781507,0,17,-13336.99210446371
571.4186145137605,1.7074631481429374,15.0,0.15035076335814662,6780.471229781506,60.14030534325865,0,0.0,-679.0471229781506,0,18,-14016.039227441861
572.3340316306469,2.0725190001760607,15.0,0.15553206085858678,6789.880151295202,62.21282434343471,4,228.56744580550424,-679.9880151295202,0,19,-14696.027242571381
574.72050150176,-0.5802942937957465,15.0,0.15408132512409742,6814.349335157169,61.632530049638966,1,57.23340316306469,-782.4349335157169,0,20,-15478.462176087098
576.123424066014,2.646745596052008,15.0,0.16069818911422742,6828.693955532567,64.27927564569097,3,172.41615045052802,-683.8693955532567,0,21,-16162.331571640354
554.2700295413033,3.4829697400640267,15.0,0.16940561346438748,6601.795216279756,67.762245385755,8,460.8987392528112,-661.1795216279756,0,22,-16823.51109326833
556.6071626956877,1.7418437228113361,15.0,0.17376022277141584,6626.423182720087,69.50408910856633,1,55.42700295413033,-663.6423182720088,0,23,-17487.15341154034
558.4841723512611,0.9793911813279621,15.0,0.1762087007247357,6646.138028799897,70.48348028989429,2,111.32143253913756,-665.6138028799897,0,24,-18152.76721442033
554.1848513855103,2.4481833301918954,15.0,0.18232915905021546,6600.895942624266,72.93166362008618,5,279.24208617563056,-661.0895942624267,0,25,-18813.856808682758
556.0588603498211,1.3169939402175324,15.0,0.18562164390075928,6620.653372936909,74.24865756030371,2,110.83697027710207,-663.065337293691,0,26,-19476.92214597645
557.0045974445978,2.031043633444686,15.0,0.190699252984371,6630.602343407009,76.2797011937484,4,222.42354413992845,-664.060234340701,0,27,-20140.98238031715
532.0765342563918,3.5082895353584136,15.0,0.19946997682276701,6363.298205706871,79.78799072910681,9,501.3041377001381,-637.3298205706872,0,28,-20778.312200887838
534.3493308804295,1.7511742370260301,15.0,0.20384791241533212,6388.121252970757,81.53916496613284,1,53.20765342563919,-639.8121252970758,0,29,-21418.124326184912
507.4286442485473,3.612457421042554,15.0,0.2128790559679385,6087.771922090327,85.1516223871754,10,534.3493308804295,-609.7771922090327,0,30,-22027.901518393945
510.01683580237057,1.397878332102932,15.0,0.21637375179819582,6117.271922090327,86.54950071927833,0,0.0,-612.7271922090328,0,31,-22640.628710602978
508.17240704719427,2.2428973136836565,15.0,0.22198099508240496,6096.263504189142,88.79239803296198,5,255.00841790118528,-610.6263504189142,0,32,-23251.255061021893
493.2582419405559,3.1391819418302207,15.0,0.2298289499369805,5923.725578551386,91.9315799747922,8,406.53792563775545,-593.3725578551387,0,33,-23844.62761887703
475.67375026107607,3.598693772772132,15.0,0.23882568436891083,5713.793160804886,95.53027374756434,9,443.9324177465003,-572.3793160804886,0,34,-24417.00693495752
477.7618024926744,1.8050192268642629,15.0,0.2433382324360715,5739.111988540091,97.3352929744286,1,47.56737502610761,-574.9111988540092,0,35,-24991.91813381153
