episode,epsilon,reward,steps,exit_reason
167,1,-384.0218635688376,194,terminated
168,1,-390.312785076148,182,terminated
169,1,-413.2090940133739,185,terminated
170,1,-384.2675185007116,190,terminated
171,1,-434.9453722615717,189,terminated
172,1,-438.005018767874,197,terminated
173,1,-427.77088531024265,195,terminated
174,1,-400.214959468987,197,terminated
175,1,-439.4247601337673,193,terminated
176,1,-407.15787443738463,190,terminated
177,1,-458.9233938294278,197,terminated
178,1,-398.965290471858,199,terminated
179,1,-392.9978647867104,195,terminated
180,1,-388.9198686849221,192,terminated
181,1,-447.50060869900807,196,terminated
182,1,-396.68618400899067,190,terminated
183,1,-378.1868745744845,189,terminated
184,1,-425.186059010821,190,terminated
185,1,-429.186396911475,195,terminated
186,1,-422.2531883523992,192,terminated
187,1,-424.3982852753466,188,terminated
188,1,-415.12742370860366,193,terminated
189,1,-399.476949243592,188,terminated
190,1,-437.93214497037724,192,terminated
191,1,-435.22269435115527,189,terminated
192,1,-450.53947512194577,191,terminated
193,1,-419.1445520042373,188,terminated
194,1,-398.2781186996831,193,terminated
195,1,-443.20836527382824,188,terminated
196,1,-391.5434974204471,196,terminated
197,1,-437.31938951916607,191,terminated
198,1,-383.6594787548019,199,terminated
199,1,-443.2781524926583,197,terminated
200,1,-405.5454022370267,190,terminated
201,1,-409.9371185512381,189,terminated
202,1,-395.1535302800349,194,terminated
203,1,-397.934347722184,191,terminated
204,1,-394.79831584401086,188,terminated
205,1,-448.4185838115279,201,terminated
206,1,-432.76440259365273,191,terminated
207,1,-376.9437665951068,196,terminated
208,1,-397.9890851768913,195,terminated
209,1,-410.6755147154116,195,terminated
210,1,-444.83048454723024,191,terminated
211,1,-467.8836304261139,199,terminated
212,1,-412.0147896548831,197,terminated
213,1,-428.24130065709176,193,terminated
214,1,-431.6751974759124,190,terminated
215,1,-408.25035935623845,197,terminated
216,1,-417.24985549538474,189,terminated
217,1,-434.1737475868237,197,terminated
218,1,-403.889082708629,184,terminated
219,1,-372.07981782187073,187,terminated
220,1,-440.370949283541,193,terminated
221,1,-392.41979232816345,191,terminated
222,1,-433.98990088529956,188,terminated
223,1,-395.5402190539262,193,terminated
224,1,-374.43405918312106,193,terminated
225,1,-444.08617266496935,200,terminated
