episode,epsilon,reward,steps,exit_reason
0,0.9895523341234285,-700.5731426889463,85,terminated
1,0.9493165215325956,-694.3425544904576,83,terminated
2,0.9084422059237025,-706.3937278121135,88,terminated
3,0.8710686293383069,-498.6338106710514,84,terminated
4,0.8294049478673904,-818.6144727466029,98,terminated
5,0.7944879029012528,-600.7198706371738,86,terminated
6,0.7587605570173169,-610.1899387483522,92,terminated
7,0.7235534186586253,-713.3231993409416,95,terminated
8,0.6923996884502843,-601.8396456803167,88,terminated
