episode,epsilon,total_reward,steps,exit_reason
0,1,-812.0043709187206,95,terminated
1,0.9948132379270471,-396.34039484529967,85,terminated
2,0.9863927421806611,-802.235230766019,85,terminated
3,0.9779457165143248,-701.4005654050688,86,terminated
4,0.9696679941920274,-701.1018632198361,85,terminated
5,0.9615564934600462,-601.1034343649691,84,terminated
6,0.9520835788223959,-1518.62519321991,99,terminated
7,0.9432698084042613,-910.0815641931271,93,terminated
8,0.9346310932484012,-806.6602492695047,92,terminated
9,0.9270907838530458,-393.47488305729433,81,terminated
10,0.9176820535157378,-1223.476411814468,102,terminated
11,0.9102784836366059,-493.06244537073127,81,terminated
12,0.9021223272298245,-906.1676770198774,90,terminated
13,0.8939498466076922,-707.9198120259822,91,terminated
14,0.8871812426139551,-184.36318944865542,76,terminated
15,0.8791441158355427,-906.3451638928467,91,terminated
