episode,epsilon,reward,steps,exit_reason
0,0.9986009445906281,9908,92,terminated
1,0.9945646887929842,9919,81,terminated
2,0.990396172897538,9916,84,terminated
3,0.9863437604000169,9918,82,terminated
4,0.9822097008562465,9916,84,terminated
5,0.9779462617737376,9913,87,terminated
6,0.9736039611352222,9911,89,terminated
7,0.9690386452804909,9906,94,terminated
8,0.9651218776554035,9919,81,terminated
9,0.9608365201573477,9911,89,terminated
10,0.956905057143947,9918,82,terminated
11,0.9528467392266312,9915,85,terminated
12,0.9484736008266289,9908,92,terminated
13,0.9442621654099077,9911,89,terminated
14,0.9404925667311296,9920,80,terminated
15,0.9365506831531744,9916,84,terminated
16,0.9327652289683557,9919,81,terminated
17,0.9290879817265921,9921,79,terminated
18,0.925101381073564,9914,86,terminated
19,0.9213161358346118,9918,82,terminated
20,0.9169960022586955,9906,94,terminated
21,0.912604858843753,9904,96,terminated
22,0.9086889852152276,9914,86,terminated
23,0.9047446746163464,9913,87,terminated
24,0.9009976709512856,9917,83,terminated
25,0.8970867457382338,9913,87,terminated
26,0.8931034794780233,9911,89,terminated
27,0.8889600855696383,9907,93,terminated
28,0.8847916724007536,9906,94,terminated
29,0.8811273041736549,9917,83,terminated
30,0.8773464968063146,9914,86,terminated
31,0.8738877272410935,9921,79,terminated
32,0.869833481379484,9907,93,terminated
33,0.8661011343971791,9914,86,terminated
34,0.8626004309940898,9919,81,terminated
35,0.8589850164830628,9916,84,terminated
36,0.8551709304424002,9911,89,terminated
37,0.8512460801170278,9908,92,terminated
38,0.8472968761289812,9907,93,terminated
39,0.8434081641749384,9908,92,terminated
40,0.8393274363239561,9903,97,terminated
41,0.8356424164668647,9912,88,terminated
42,0.8323896766889882,9922,78,terminated
43,0.8293569167034948,9927,73,terminated
44,0.8257569596994654,9913,87,terminated
45,0.8226249595212233,9924,76,terminated
46,0.8194638634137213,9923,77,terminated
47,0.8156213242321221,9906,94,terminated
48,0.8123652739752802,9920,80,terminated
49,0.8089604099220593,9916,84,terminated
50,0.8055295381741508,9915,85,terminated
51,0.8021533247191919,9916,84,terminated
52,0.7987113848479948,9914,86,terminated
53,0.7947674342244558,9901,99,terminated
54,0.7914759017374883,9917,83,terminated
55,0.788473925627934,9924,76,terminated
56,0.7848551845863657,9908,92,terminated
57,0.7810187053196599,9902,98,terminated
58,0.7777841132480845,9917,83,terminated
59,0.7747565870312386,9922,78,terminated
60,0.7715479295474383,9917,83,terminated
61,0.7680452734863662,9909,91,terminated
62,0.7653234787642088,9929,71,terminated
63,0.7619252709480849,9911,89,terminated
64,0.7587318159231097,9916,84,terminated
65,0.7556650897123388,9919,81,terminated
66,0.7521969264859579,9908,92,terminated
67,0.7491566137144302,9919,81,terminated
68,0.7460166759229154,9916,84,terminated
69,0.7426299260769077,9909,91,terminated
70,0.739443393685482,9914,86,terminated
71,0.7363073496746046,9915,85,terminated
72,0.7330746337081672,9912,88,terminated
73,0.729673665016978,9907,93,terminated
74,0.7266517186338439,9917,83,terminated
75,0.7236061055392805,9916,84,terminated
76,0.720825508601259,9923,77,terminated
77,0.7175890005041375,9910,90,terminated
78,0.713938521971707,9898,102,terminated
79,0.7107684748832344,9911,89,terminated
80,0.7078602174310332,9918,82,terminated
81,0.7047876363790263,9913,87,terminated
82,0.7017283923589486,9913,87,terminated
83,0.6982982481985796,9902,98,terminated
84,0.6949196170318964,9903,97,terminated
85,0.6918686115755985,9912,88,terminated
86,0.6890721404628812,9919,81,terminated
87,0.6864928945631517,9925,75,terminated
88,0.6834105399775309,9910,90,terminated
89,0.6803420251706849,9910,90,terminated
90,0.677592143490369,9919,81,terminated
91,0.6751908960853095,9929,71,terminated
92,0.672529086035808,9921,79,terminated
93,0.6697103169633888,9916,84,terminated
94,0.6663700395236211,9900,100,terminated
95,0.6634112071611322,9911,89,terminated
96,0.660894965554361,9924,76,terminated
97,0.6579933434148706,9912,88,terminated
98,0.6551372175449058,9913,87,terminated
99,0.6523913429569506,9916,84,terminated
100,0.6495920130710673,9914,86,terminated
101,0.6467076789073302,9911,89,terminated
102,0.643997135018522,9916,84,terminated
103,0.6412017619407889,9913,87,terminated
104,0.6384185226292156,9913,87,terminated
105,0.6362197188730652,9931,69,terminated
106,0.6333314228007888,9909,91,terminated
107,0.6308661789704995,9922,78,terminated
108,0.6283476916246669,9920,80,terminated
109,0.6256515300479083,9914,86,terminated
110,0.6229357890173399,9913,87,terminated
111,0.6203558979717966,9917,83,terminated
112,0.61760137871326,9911,89,terminated
113,0.6150743338658814,9918,82,terminated
114,0.6122208064676533,9907,93,terminated
115,0.6096548073003388,9916,84,terminated
116,0.6073120903477698,9923,77,terminated
117,0.6049178794147669,9921,79,terminated
118,0.602804314892826,9930,70,terminated
119,0.6001277285978789,9911,89,terminated
120,0.5976124151103331,9916,84,terminated
121,0.5954350514666729,9927,73,terminated
122,0.5928504699182463,9913,87,terminated
123,0.5903656575824328,9916,84,terminated
124,0.5877736903989648,9912,88,terminated
125,0.5851931031014943,9912,88,terminated
126,0.5828860920150507,9921,79,terminated
127,0.5804430433454387,9916,84,terminated
128,0.5779813337064276,9915,85,terminated
129,0.5757027536316606,9921,79,terminated
130,0.572802710995155,9899,101,terminated
131,0.5703734046728994,9915,85,terminated
132,0.5677556470255999,9908,92,terminated
133,0.565545657033706,9922,78,terminated
134,0.5629500565788662,9908,92,terminated
135,0.5602543038953216,9904,96,terminated
136,0.5580456092209243,9921,79,terminated
137,0.5555122062259361,9909,91,terminated
138,0.5532668755208262,9919,81,terminated
139,0.550314727968847,9893,107,terminated
140,0.5480904050064815,9919,81,terminated
141,0.545875072558797,9919,81,terminated
142,0.5437502527467892,9922,78,terminated
143,0.5417962223508519,9928,72,terminated
144,0.5396333120927098,9920,80,terminated
145,0.5370760681911757,9905,95,terminated
146,0.5350122491337288,9923,77,terminated
147,0.5329030663979908,9921,79,terminated
148,0.5305633854861145,9912,88,terminated
149,0.5283396368140953,9916,84,terminated
150,0.5257570405565649,9902,98,terminated
151,0.5238938655751885,9929,71,terminated
152,0.5213851380646178,9904,96,terminated
153,0.5186809048403597,9896,104,terminated
154,0.516739445421932,9925,75,terminated
155,0.5148309945735501,9926,74,terminated
156,0.5127500936912596,9919,81,terminated
157,0.5106010058138916,9916,84,terminated
158,0.5085626302997532,9920,80,terminated
159,0.5060767067494171,9902,98,terminated
160,0.5040059883568613,9918,82,terminated
161,0.5019688411825344,9919,81,terminated
162,0.5001399489483606,9927,73,terminated
163,0.49804371393154245,9916,84,terminated
164,0.49608027252479314,9921,79,terminated
165,0.49422340887625443,9925,75,terminated
166,0.4920781527307931,9913,87,terminated
167,0.4897707543613273,9906,94,terminated
168,0.487913110811443,9924,76,terminated
169,0.4857466672189561,9911,89,terminated
170,0.4839284829880709,9925,75,terminated
171,0.4819724872966123,9919,81,terminated
172,0.47956857953959176,9900,100,terminated
173,0.4776779727914194,9921,79,terminated
174,0.47546187124427297,9907,93,terminated
175,0.4734690693779959,9916,84,terminated
176,0.47136676056754234,9911,89,terminated
177,0.4693441845871682,9914,86,terminated
178,0.46716674616033493,9907,93,terminated
179,0.4652319732247555,9917,83,terminated
180,0.46309676750566037,9908,92,terminated
181,0.461063567219146,9912,88,terminated
182,0.4591540706234032,9917,83,terminated
183,0.4572753459826987,9918,82,terminated
184,0.45556373192675825,9925,75,terminated
185,0.4535862843230775,9913,87,terminated
186,0.45182069880390924,9922,78,terminated
187,0.45010699540417953,9924,76,terminated
188,0.4482877031437412,9919,81,terminated
189,0.446341838312509,9913,87,terminated
190,0.4446711491513247,9925,75,terminated
191,0.44300671349817783,9925,75,terminated
192,0.44110582694269196,9914,86,terminated
193,0.4393009504551319,9918,82,terminated
194,0.43770038478085643,9927,73,terminated
195,0.43588764689801907,9917,83,terminated
196,0.43419095336043567,9922,78,terminated
197,0.4325441175362349,9924,76,terminated
198,0.4308388956714463,9921,79,terminated
199,0.42901167028818965,9915,85,terminated
200,0.42734174150331605,9922,78,terminated
201,0.4252953652164946,9904,96,terminated
202,0.42361872016143964,9921,79,terminated
203,0.4218643015485792,9917,83,terminated
204,0.4201381557751636,9918,82,terminated
205,0.41869114049870193,9931,69,terminated
206,0.4168945890343002,9914,86,terminated
207,0.4150019802887024,9909,91,terminated
208,0.4133865842501793,9922,78,terminated
209,0.4117568872701608,9921,79,terminated
210,0.40994909183751027,9912,88,terminated
211,0.40808801410498624,9909,91,terminated
212,0.4064588817568447,9920,80,terminated
213,0.4045125055047396,9904,96,terminated
214,0.4030588423067911,9928,72,terminated
215,0.40155016446985037,9925,75,terminated
216,0.3996872442779511,9907,93,terminated
217,0.3979921357688405,9915,85,terminated
218,0.3965024229738683,9925,75,terminated
219,0.3950775449482676,9928,72,terminated
220,0.3933626473614431,9913,87,terminated
221,0.3918706685568101,9924,76,terminated
222,0.38991615670245877,9900,100,terminated
223,0.3882624882291002,9915,85,terminated
224,0.3866351648664011,9916,84,terminated
225,0.3849569127873122,9913,87,terminated
226,0.3835159917565879,9925,75,terminated
227,0.38202315499141676,9922,78,terminated
228,0.3803839412795677,9914,86,terminated
229,0.3787328236412505,9913,87,terminated
230,0.3773718027578656,9928,72,terminated
231,0.37603447458660433,9929,71,terminated
232,0.37457075964198494,9922,78,terminated
233,0.37283300557493504,9907,93,terminated
234,0.37121466398674724,9913,87,terminated
235,0.36967727698076963,9917,83,terminated
236,0.36799902433401976,9909,91,terminated
237,0.36665824279028386,9927,73,terminated
238,0.36530408018334765,9926,74,terminated
239,0.36379117188367793,9917,83,terminated
240,0.3624838455807596,9928,72,terminated
241,0.36114510008967665,9926,74,terminated
