episode,epsilon,reward,steps,exit_reason
0,0.997002999,-460.0033074276899,195,terminated
1,0.995009990004999,-387.8596800386971,188,terminated
2,0.9920279440699441,-440.96711895456014,190,terminated
3,0.9890548353295385,-379.21876577561346,189,terminated
4,0.986090636999001,-395.56710151751423,195,terminated
5,0.9821521870514506,-440.84238702320215,200,terminated
6,0.9792086759647052,-424.84021510712665,200,terminated
7,0.9762739865836303,-411.05559409663755,203,terminated
8,0.9733480924695651,-404.02347637435105,198,terminated
