episode,epsilon,reward,steps,exit_reason
0,1,-2997.898381592256,85,terminated
1,0.9995301080837887,-3994.9568155656025,90,terminated
2,0.9986708774168245,-3201.155906363185,86,terminated
3,0.9977824513020541,-3478.9174958952717,89,terminated
4,0.9970044805482192,-2090.1240469541553,78,terminated
5,0.9961872678910846,-2845.926165260352,82,terminated
6,0.9952910982059815,-3762.3724998337075,90,terminated
7,0.9944653452006054,-2916.2905308101467,83,terminated
8,0.993521047013828,-4128.890136319505,95,terminated
9,0.9926967625487555,-2344.6808477143068,83,terminated
10,0.9918434060620624,-3183.9672854430773,86,terminated
11,0.9908619620777697,-4940.006086111679,99,terminated
12,0.9900398837485513,-2274.760546960423,83,terminated
13,0.9892382721311871,-2390.525215133745,81,terminated
14,0.9883088204188651,-3729.528345903296,94,terminated
