episode,epsilon,reward,steps,exit_reason
167,1,-431.3998456566227,197,terminated
168,1,-465.0410576757003,196,terminated
169,1,-454.86599183339445,196,terminated
170,1,-433.2403317611683,188,terminated
171,1,-394.9892827841547,193,terminated
172,1,-432.42593477438925,190,terminated
173,1,-404.6125595806904,194,terminated
174,1,-447.7697988756314,200,terminated
175,1,-417.1378953375254,201,terminated
176,1,-455.2978276266431,192,terminated
177,1,-413.74301678502866,197,terminated
178,1,-416.5188963615359,196,terminated
179,1,-390.4457720237642,189,terminated
180,1,-404.24240774967967,194,terminated
181,1,-426.4837326869443,195,terminated
182,1,-416.57879235962395,199,terminated
183,1,-393.61801427652557,190,terminated
184,1,-385.54385210925824,189,terminated
185,1,-383.023866812253,190,terminated
186,1,-398.16368569461866,182,terminated
187,1,-414.6718605793953,198,terminated
188,1,-393.28780419934003,192,terminated
189,1,-417.261980894,196,terminated
190,1,-418.89954390184124,199,terminated
191,1,-443.2868304843873,197,terminated
192,1,-408.78620436051756,191,terminated
193,1,-434.0376344503609,194,terminated
194,1,-423.89408934294033,196,terminated
195,1,-457.95250867467735,193,terminated
196,1,-415.4980829688541,192,terminated
197,1,-401.4754276609862,198,terminated
198,1,-363.5578949953341,191,terminated
199,1,-424.6204712107961,194,terminated
200,1,-408.49111645161616,198,terminated
201,1,-408.02339088902687,200,terminated
202,1,-396.6866248943218,192,terminated
203,1,-410.81018245336816,197,terminated
204,1,-417.3748565112062,192,terminated
205,1,-433.383430250816,196,terminated
206,1,-413.2633680583958,187,terminated
207,1,-435.20297120951943,200,terminated
208,1,-416.91732859139813,185,terminated
209,1,-411.34411070482423,194,terminated
210,1,-386.0840792536213,184,terminated
211,1,-380.08007100955444,201,terminated
212,1,-353.71482096185906,185,terminated
213,1,-460.16147381175324,198,terminated
214,1,-365.06982793995917,183,terminated
215,1,-451.96088321098387,199,terminated
216,1,-393.8258547918437,192,terminated
217,1,-376.3088073507924,185,terminated
218,1,-393.3381651136068,189,terminated
219,1,-425.7068462146885,190,terminated
220,1,-420.82498939804174,189,terminated
221,1,-390.7902363899961,191,terminated
222,1,-424.649710846178,193,terminated
223,1,-380.272446060568,194,terminated
224,1,-377.9509794411543,183,terminated
225,1,-404.43790405415115,199,terminated
226,1,-383.67018548265713,195,terminated
227,1,-396.0825697950529,185,terminated
228,1,-432.7549174986377,190,terminated
229,1,-425.1595688529766,193,terminated
230,1,-447.6790168766855,203,terminated
231,1,-428.3367109228621,190,terminated
232,1,-395.192035721536,193,terminated
233,1,-436.87660810980236,190,terminated
234,1,-373.39695431588916,189,terminated
235,1,-436.79943957548295,192,terminated
236,1,-422.3831637749116,196,terminated
237,1,-395.36939300022937,193,terminated
238,1,-400.20960573617356,198,terminated
239,1,-414.0634339851258,186,terminated
240,1,-384.70158141332047,186,terminated
241,1,-456.86223970418007,188,terminated
242,1,-430.09773855790365,194,terminated
243,1,-434.6597034166543,188,terminated
244,1,-365.91587793967267,187,terminated
245,1,-412.9887370726406,194,terminated
246,1,-400.1587169544058,195,terminated
247,1,-478.50068262533017,201,terminated
248,1,-388.7829881879628,184,terminated
249,1,-440.6968467279455,195,terminated
250,1,-422.661041745438,192,terminated
251,1,-427.4109485009143,200,terminated
252,1,-460.03963280410846,196,terminated
253,1,-410.5799832980546,201,terminated
254,1,-393.354738663931,188,terminated
255,1,-406.7121524869789,186,terminated
256,1,-391.0209698254266,192,terminated
257,1,-403.21169031278305,199,terminated
258,1,-420.34786498880874,190,terminated
259,1,-455.6854782000829,197,terminated
260,1,-375.51330878110855,193,terminated
261,1,-408.87537648758547,183,terminated
262,1,-421.0507693020531,197,terminated
263,1,-385.46728637812885,189,terminated
264,1,-359.50055343709306,183,terminated
265,1,-382.72288097752585,185,terminated
266,1,-420.3342353901424,190,terminated
267,1,-395.0495950581121,192,terminated
268,1,-458.1022918839742,194,terminated
269,1,-391.6809346130477,186,terminated
270,1,-432.9440375298416,193,terminated
271,1,-422.37382391289253,194,terminated
272,1,-470.34996902573243,199,terminated
273,1,-464.60920060465196,199,terminated
274,1,-385.9451516466458,200,terminated
275,1,-418.6326843792377,194,terminated
276,1,-431.0076632613833,191,terminated
277,1,-405.08372461725,198,terminated
278,1,-431.5715541521881,188,terminated
279,1,-429.44588851599144,197,terminated
280,1,-429.93165310179876,190,terminated
281,1,-401.45969332028636,189,terminated
282,1,-434.0319606291873,195,terminated
283,1,-412.40104056769707,186,terminated
284,1,-399.0057402472534,191,terminated
285,1,-391.25406579951436,188,terminated
286,1,-438.3447868783106,189,terminated
287,1,-448.1418292139371,195,terminated
288,1,-401.15284046794045,193,terminated
289,1,-409.10281466229657,205,terminated
290,1,-448.35588860703405,194,terminated
291,1,-417.9215798900589,196,terminated
292,1,-370.1240851889907,189,terminated
293,1,-431.7748601087272,189,terminated
294,1,-454.0154396772436,194,terminated
295,1,-419.47432906588034,201,terminated
296,1,-364.6509734058266,184,terminated
297,1,-369.9333405514972,187,terminated
298,1,-451.95682324651546,195,terminated
299,1,-461.56464068678224,202,terminated
300,1,-436.76477916937154,196,terminated
301,1,-446.30513699074885,194,terminated
302,1,-432.642043712861,193,terminated
303,1,-412.11686912192965,190,terminated
304,1,-397.7970638085877,194,terminated
305,1,-379.82837058856364,195,terminated
306,1,-401.3449702308654,193,terminated
307,1,-427.7995192179234,195,terminated
308,1,-427.5087312680462,196,terminated
309,1,-394.7422696434789,191,terminated
310,1,-412.5460605458954,195,terminated
311,1,-423.8759958800582,186,terminated
312,1,-389.16358802166997,194,terminated
313,1,-422.9840571164014,189,terminated
314,1,-395.0242434467407,193,terminated
315,1,-427.27689507217355,199,terminated
316,1,-419.9289186420883,201,terminated
317,1,-414.4371062000902,196,terminated
318,1,-405.53352439455085,192,terminated
319,1,-389.26882524857314,198,terminated
320,1,-400.1514867841767,185,terminated
321,1,-427.25165921292694,198,terminated
322,1,-427.23536473912634,196,terminated
323,1,-399.6787334690164,192,terminated
324,1,-430.8454809193912,193,terminated
325,1,-425.48603497346363,197,terminated
326,1,-448.08526109711113,196,terminated
327,1,-397.9389710080066,192,terminated
328,1,-418.1792902862263,190,terminated
329,1,-419.3930146345084,196,terminated
330,1,-455.606640490784,189,terminated
331,1,-432.5294130683749,188,terminated
332,1,-440.6455892262636,184,terminated
333,1,-400.4735370094943,191,terminated
