episode,epsilon,reward,steps,exit_reason
0,0.995,-44243,3043,terminated
1,0.990025,-45943,3043,terminated
2,0.985074875,-45830,3030,terminated
3,0.9801495006250001,-45539,3039,terminated
4,0.9752487531218751,-46116,3016,terminated
5,0.9703725093562657,-50084,3084,terminated
6,0.9655206468094844,-45468,3068,terminated
7,0.960693043575437,-48151,3051,terminated
8,0.9558895783575597,-45213,3013,terminated
9,0.9511101304657719,-45697,3097,terminated
10,0.946354579813443,-46018,3018,terminated
11,0.9416228069143757,-52695,3095,terminated
12,0.9369146928798039,-44626,3026,terminated
13,0.9322301194154049,-41375,2975,terminated
14,0.9275689688183278,-47810,3110,terminated
15,0.9229311239742362,-43699,2999,terminated
16,0.918316468354365,-45025,3025,terminated
17,0.9137248860125932,-43879,2979,terminated
18,0.9091562615825302,-44627,3127,terminated
19,0.9046104802746175,-51455,3155,terminated
20,0.9000874278732445,-43662,3062,terminated
21,0.8955869907338783,-43457,3057,terminated
22,0.8911090557802088,-43955,3055,terminated
23,0.8866535105013078,-44390,3090,terminated
24,0.8822202429488013,-40662,2962,terminated
25,0.8778091417340573,-42401,3001,terminated
26,0.8734200960253871,-42714,3014,terminated
27,0.8690529955452602,-41399,2999,terminated
28,0.8647077305675338,-59039,3239,terminated
29,0.8603841919146962,-40840,2940,terminated
30,0.8560822709551227,-41999,3099,terminated
31,0.851801859600347,-39326,2926,terminated
32,0.8475428503023453,-38513,2913,terminated
33,0.8433051360508336,-41760,2960,terminated
34,0.8390886103705794,-39319,2919,terminated
35,0.8348931673187264,-38916,2916,terminated
36,0.8307187014821328,-39729,2929,terminated
37,0.8265651079747222,-39818,2918,terminated
38,0.8224322824348486,-36693,2893,terminated
39,0.8183201210226743,-39405,2905,terminated
40,0.8142285204175609,-37899,2899,terminated
41,0.810157377815473,-37380,2880,terminated
42,0.8061065909263957,-36685,2885,terminated
43,0.8020760579717637,-36507,2907,terminated
44,0.798065677681905,-35991,2891,terminated
45,0.7940753492934954,-38091,2891,terminated
46,0.7901049725470279,-37586,2886,terminated
47,0.7861544476842928,-38006,2906,terminated
48,0.7822236754458713,-37679,2879,terminated
49,0.778312557068642,-35962,2862,terminated
50,0.7744209942832988,-35063,2863,terminated
51,0.7705488893118823,-35183,2883,terminated
52,0.7666961448653229,-37590,2890,terminated
53,0.7628626641409962,-37562,2862,terminated
54,0.7590483508202912,-35560,2860,terminated
55,0.7552531090661897,-35082,2882,terminated
56,0.7514768435208588,-33566,2866,terminated
57,0.7477194593032545,-35451,2851,terminated
58,0.7439808620067382,-34180,2880,terminated
59,0.7402609576967045,-33242,2842,terminated
60,0.736559652908221,-35050,2850,terminated
61,0.7328768546436799,-32811,2811,terminated
62,0.7292124703704616,-36468,2868,terminated
63,0.7255664080186093,-34138,2838,terminated
64,0.7219385759785162,-34424,2824,terminated
65,0.7183288830986236,-34217,2817,terminated
66,0.7147372386831305,-33526,2826,terminated
67,0.7111635524897149,-32506,2806,terminated
68,0.7076077347272662,-34826,2826,terminated
69,0.7040696960536299,-32314,2814,terminated
70,0.7005493475733617,-31184,2784,terminated
71,0.697046600835495,-33716,2816,terminated
72,0.6935613678313175,-31008,2808,terminated
73,0.6900935609921609,-32814,2814,terminated
74,0.6866430931872001,-34431,2831,terminated
75,0.6832098777212641,-33617,2817,terminated
76,0.6797938283326578,-32075,2775,terminated
77,0.6763948591909945,-31309,2809,terminated
78,0.6730128848950395,-30979,2779,terminated
79,0.6696478204705644,-30801,2801,terminated
80,0.6662995813682115,-32817,2817,terminated
