episode,loss,epsilon,reward,steps,exit_reason
0,218968.765625,0.999999,-1478,193,terminated
1,243008.734375,0.9999980000009999,-1580,196,terminated
2,132372.453125,0.9999970000029998,-1174,186,terminated
3,193331.625,0.9999960000059999,-1476,191,terminated
4,85957.390625,0.9999950000099999,-980,190,terminated
5,100358.1875,0.9999940000149998,-1082,193,terminated
6,185214.109375,0.9999930000209998,-1480,195,terminated
7,177744.484375,0.9999920000279997,-1472,187,terminated
8,250757.3125,0.9999910000359996,-1780,198,terminated
9,83733.453125,0.9999900000449995,-1088,199,terminated
10,245587.40625,0.9999890000549995,-1773,191,terminated
11,362717.625,0.9999880000659994,-2180,202,terminated
12,208233.25,0.9999870000779993,-1775,193,terminated
13,217300.859375,0.9999860000909992,-1782,200,terminated
14,135385.953125,0.9999850001049991,-1479,194,terminated
15,102452.296875,0.999984000119999,-1376,190,terminated
16,258398.5625,0.9999830001359988,-1973,193,terminated
17,98046.6796875,0.9999820001529987,-1381,195,terminated
18,110997.9921875,0.9999810001709984,-1479,194,terminated
19,68449.71875,0.9999800001899982,-1268,181,terminated
20,121369.5,0.999979000209998,-1581,197,terminated
21,39443.0390625,0.9999780002309977,-1077,188,terminated
22,76121.8984375,0.9999770002529974,-1378,192,terminated
23,175792.828125,0.9999760002759971,-1879,198,terminated
24,163787.796875,0.9999750002999968,-1875,194,terminated
25,63748.78515625,0.9999740003249964,-1373,187,terminated
26,60560.65625,0.999973000350996,-1378,192,terminated
27,78142.4375,0.9999720003779956,-1581,197,terminated
28,76096.921875,0.9999710004059952,-1579,195,terminated
29,53159.7734375,0.9999700004349947,-1379,193,terminated
30,105801.5,0.9999690004649943,-1779,197,terminated
31,30428.1484375,0.9999680004959938,-1270,183,terminated
32,64763.83984375,0.9999670005279933,-1573,189,terminated
33,48334.70703125,0.9999660005609927,-1482,197,terminated
34,78142.203125,0.9999650005949922,-1779,197,terminated
35,75507.9140625,0.9999640006299916,-1775,193,terminated
36,69200.171875,0.9999630006659909,-1783,201,terminated
37,94517.09375,0.9999620007029901,-1979,199,terminated
38,51170.73828125,0.9999610007409894,-1780,198,terminated
39,21946.5546875,0.9999600007799886,-1276,189,terminated
40,87329.578125,0.9999590008199878,-2082,203,terminated
41,23670.755859375,0.999958000860987,-980,190,terminated
42,17225.52734375,0.9999570009029861,-1184,196,terminated
43,48304.6171875,0.9999560009459851,-1877,196,terminated
44,24791.033203125,0.9999550009899841,-1580,196,terminated
45,79183.3203125,0.9999540010349831,-2084,205,terminated
46,14855.5751953125,0.9999530010809821,-1172,184,terminated
