episode,epsilon,reward,steps,exit_reason
0,0.995,-135,35,terminated
1,0.990025,66,34,terminated
2,0.985074875,-136,36,terminated
3,0.9801495006250001,-234,34,terminated
4,0.9752487531218751,-34,34,terminated
5,0.9703725093562657,-240,40,terminated
6,0.9655206468094844,-34,34,terminated
7,0.960693043575437,-135,35,terminated
8,0.9558895783575597,-438,38,terminated
9,0.9511101304657719,-31,31,terminated
10,0.946354579813443,-37,37,terminated
11,0.9416228069143757,-135,35,terminated
12,0.9369146928798039,-136,36,terminated
13,0.9322301194154049,-134,34,terminated
14,0.9275689688183278,-32,32,terminated
15,0.9229311239742362,-33,33,terminated
16,0.918316468354365,-36,36,terminated
17,0.9137248860125932,-135,35,terminated
18,0.9091562615825302,69,31,terminated
19,0.9046104802746175,-236,36,terminated
20,0.9000874278732445,-134,34,terminated
21,0.8955869907338783,-136,36,terminated
22,0.8911090557802088,-236,36,terminated
23,0.8866535105013078,-236,36,terminated
24,0.8822202429488013,-32,32,terminated
25,0.8778091417340573,71,29,terminated
26,0.8734200960253871,69,31,terminated
27,0.8690529955452602,-33,33,terminated
28,0.8647077305675338,-35,35,terminated
29,0.8603841919146962,-33,33,terminated
30,0.8560822709551227,68,32,terminated
31,0.851801859600347,-32,32,terminated
32,0.8475428503023453,-31,31,terminated
33,0.8433051360508336,-238,38,terminated
34,0.8390886103705794,-242,42,terminated
35,0.8348931673187264,-36,36,terminated
36,0.8307187014821328,-235,35,terminated
37,0.8265651079747222,-341,41,terminated
38,0.8224322824348486,-34,34,terminated
39,0.8183201210226743,69,31,terminated
40,0.8142285204175609,-233,33,terminated
41,0.810157377815473,-28,28,terminated
42,0.8061065909263957,73,27,terminated
43,0.8020760579717637,-32,32,terminated
44,0.798065677681905,-30,30,terminated
45,0.7940753492934954,-31,31,terminated
46,0.7901049725470279,-31,31,terminated
47,0.7861544476842928,-25,25,terminated
48,0.7822236754458713,69,31,terminated
49,0.778312557068642,-29,29,terminated
50,0.7744209942832988,-30,30,terminated
51,0.7705488893118823,-131,31,terminated
52,0.7666961448653229,68,32,terminated
0,0.995,-235,35,terminated
1,0.990025,-32,32,terminated
2,0.985074875,-235,35,terminated
3,0.9801495006250001,-132,32,terminated
4,0.9752487531218751,70,30,terminated
5,0.9703725093562657,-134,34,terminated
6,0.9655206468094844,-34,34,terminated
7,0.960693043575437,-237,37,terminated
8,0.9558895783575597,-339,39,terminated
9,0.9511101304657719,-340,40,terminated
10,0.946354579813443,-34,34,terminated
11,0.9416228069143757,-134,34,terminated
12,0.9369146928798039,-138,38,terminated
13,0.9322301194154049,-132,32,terminated
14,0.9275689688183278,65,35,terminated
15,0.9229311239742362,68,32,terminated
16,0.918316468354365,-135,35,terminated
17,0.9137248860125932,-31,31,terminated
18,0.9091562615825302,-132,32,terminated
19,0.9046104802746175,-133,33,terminated
20,0.9000874278732445,-132,32,terminated
21,0.8955869907338783,-33,33,terminated
22,0.8911090557802088,73,27,terminated
23,0.8866535105013078,-32,32,terminated
24,0.8822202429488013,71,29,terminated
25,0.8778091417340573,-28,28,terminated
26,0.8734200960253871,-131,31,terminated
27,0.8690529955452602,-234,34,terminated
28,0.8647077305675338,-132,32,terminated
29,0.8603841919146962,69,31,terminated
30,0.8560822709551227,-135,35,terminated
31,0.851801859600347,71,29,terminated
32,0.8475428503023453,-133,33,terminated
33,0.8433051360508336,-29,29,terminated
34,0.8390886103705794,-31,31,terminated
