power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward,episode,action_type,step,total_reward
830.5894722024044,5.135237782782243,15.0,0.012838094456955607,9069.026652,5.135237782782243,100,922.973348,-907.9026652000001,0,random,1,-907.9026652000001
769.0994599638119,5.556289023073405,15.0,0.02672881701463912,8580.41381118391,10.691526805855649,87,722.6128408160919,-859.041381118391,0,random,2,-1766.944046318391
740.6980234250917,5.164566639571701,15.0,0.039640233613568374,8345.263140605985,15.85609344542735,61,469.15067057792527,-835.5263140605985,0,random,3,-2602.4703603789894
707.3723829165717,5.024105278123603,15.0,0.05220049680887739,8060.77452420842,20.880198723550954,70,518.4886163975642,-807.0774524208421,0,random,4,-3409.5478127998313
682.5216472715161,4.734154526576166,15.0,0.0640358831253178,7842.056199141814,25.61435325012712,64,452.7183250666059,-785.2056199141815,0,random,5,-4194.753432714013
683.6771323625032,3.7243377467461523,15.0,0.07334672749218318,7852.3582302473615,29.33869099687327,32,218.40692712688517,-786.2358230247362,0,random,6,-4980.989255738749
636.0738287522188,4.6430191373221055,15.0,0.08495427533548844,7416.3546405321085,33.981710134195374,98,670.0035897152532,-742.6354640532109,0,random,7,-5723.62471979196
623.8737184776934,4.132486481914951,15.0,0.09528549154027582,7300.514034718388,38.11419661611033,55,349.84060581372034,-731.0514034718389,0,random,8,-6454.676123263799
616.4167330934499,3.6094669873483602,15.0,0.10430915900864672,7228.815912664318,41.72366360345869,49,305.69812205406976,-723.8815912664318,0,random,9,-7178.55771453023
596.2486856480598,3.777619646805555,15.0,0.11375320812566062,7031.324199498903,45.501283250264244,70,431.4917131654149,-704.1324199498904,0,random,10,-7882.690134480121
573.9260095606086,3.9698570497101153,15.0,0.1236778507499359,6806.212711549897,49.47114029997436,77,459.11148794900606,-681.6212711549897,0,random,11,-8564.311405635111
545.8393750446596,4.312060973385167,15.0,0.13445800318339882,6512.200782754137,53.78320127335952,92,528.0119287957599,-652.2200782754138,0,random,12,-9216.531483910525
541.1985050286223,3.6508994009818343,15.0,0.1435852516858534,6462.364307730914,57.43410067434136,52,283.836475023223,-647.2364307730915,0,random,13,-9863.767914683616
515.2778677103232,4.1175203458179155,15.0,0.1538790525503982,6176.813742903437,61.551621020159274,96,519.5505648274774,-618.6813742903437,0,random,14,-10482.44928897396
505.4894473489093,3.7527983986813434,15.0,0.16326104854710155,6065.57757153752,65.30441941884062,67,345.23617136591656,-607.557757153752,0,random,15,-11090.007046127712
483.59320873649864,4.0675385863515165,15.0,0.17342989501298034,5809.252807609078,69.37195800519214,97,490.32476392844205,-581.9252807609079,0,random,16,-11671.93232688862
484.35450189763594,3.256723867427041,15.0,0.18157170468154796,5818.349042946068,72.62868187261918,48,232.12474019351933,-582.8349042946069,0,random,17,-12254.767231183227
482.4561696011065,2.8250354767344854,15.0,0.18863429337338417,5795.641156940321,75.45371734935367,53,256.70788600574707,-580.5641156940321,0,random,18,-12835.33134687726
483.46787310300334,2.243435132839459,15.0,0.19424288120548283,5807.753919044067,77.69715248219313,41,197.80702953645365,-581.7753919044067,0,random,19,-13417.106738781666
484.83473079007445,1.5880783710574709,15.0,0.19821307713312653,5824.079902969883,79.28523085325061,31,149.87504066193102,-583.4079902969883,0,random,20,-14000.514729078654
486.0947223082094,1.5635665490108313,15.0,0.2021219935056536,5839.090132205491,80.84879740226144,34,164.84380846862533,-584.9090132205491,0,random,21,-14585.423742299203
475.63975427281935,2.8301306839752804,15.0,0.20919732021559181,5713.380037697416,83.67892808623672,74,359.7100945080749,-572.3380037697416,0,random,22,-15157.761746068943
467.9510980235452,2.961609605187899,15.0,0.21660134422856156,5619.188607249171,86.64053769142463,69,328.19143044824534,-562.9188607249171,0,random,23,-15720.68060679386
465.3083220353001,2.713697813235272,15.0,0.22338558876164974,5586.45648137575,89.3542355046599,57,266.7321258734208,-559.645648137575,0,random,24,-16280.326254931435
457.9831276418163,2.901528341266267,15.0,0.2306394096148154,5494.74065595104,92.25576384592617,70,325.71582542471003,-550.474065595104,0,random,25,-16830.800320526538
459.3016326780579,1.9408611976098242,15.0,0.23549156260883997,5511.358506536731,94.19662504353599,32,146.5546008453812,-552.1358506536731,0,random,26,-17382.936171180212
449.8936204922045,2.829834474608848,15.0,0.2425661487953621,5391.696249374626,97.02645951814483,77,353.6622571621046,-540.1696249374626,0,random,27,-17923.105796117674
443.30006642659225,2.918886400256271,15.0,0.24986336479600277,5306.271778825161,99.9453459184011,71,319.4244705494652,-531.6271778825161,0,random,28,-18454.73297400019
433.1675458964493,3.18414243528944,-20.0,0.2578237208842264,5172.33272369109,103.12948835369055,83,367.93905513407157,516.233272369109,0,random,29,-17938.49970163108
434.5775330482918,5.039187919932064,-20.0,0.2704216906840565,5191.171604051487,108.16867627362261,28,121.28691285100582,518.1171604051486,0,random,30,-17420.382541225932
429.9920171171418,7.216437274684933,-20.0,0.28846278387076885,5129.658881578648,115.38511354830754,68,295.51272247283845,511.9658881578648,0,random,31,-16908.416653068067
431.4246764096629,8.970509184396578,-20.0,0.3108890568317603,5148.9538810364065,124.35562273270412,27,116.0978446216283,513.8953881036407,0,random,32,-16394.521264964427
432.8033918247526,10.669261893575792,-20.0,0.33756221156569977,5167.456434610048,135.0248846262799,29,125.11315615880223,515.7456434610048,0,random,33,-15878.775621503422
434.0703012673609,12.304918949814274,-20.0,0.36832450894023544,5184.402106623387,147.32980357609418,33,142.82511930216836,517.4402106623387,0,random,34,-15361.335410841084
