power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward,episode,action_type,step,total_reward
852.2583736354561,4.650155589900806,15.0,0.011625388974752016,9235.16185464,4.650155589900806,82,756.83814536,-924.516185464,0,random,1,-924.516185464
794.7341912889261,5.157963427425765,15.0,0.02452029754331643,8787.355155731635,9.808119017326572,80,681.806698908365,-879.7355155731635,0,random,2,-1804.2517010371635
781.3136817432809,4.488437100068281,15.0,0.035741390293487135,8679.619453477397,14.296556117394854,43,341.7357022542382,-868.9619453477397,0,random,3,-2673.2136463849033
783.1821174014445,3.2976747441255654,15.0,0.043985577153801046,8694.697184226097,17.59423086152042,21,164.07587316608897,-870.4697184226097,0,random,4,-3543.683364807513
785.8194575778057,1.8627600181443564,15.0,0.04864247719916194,8715.936179251747,19.456990879664776,12,93.98185408817334,-872.5936179251747,0,random,5,-4416.276982732687
788.4596463138034,0.7344771703026939,15.0,0.05047867012491867,8737.147355613215,20.19146804996747,12,94.29833490933667,-874.7147355613215,0,random,6,-5290.991718294009
769.6368380454144,3.0613397919950636,15.0,0.05813201960490633,8584.802128919451,23.252807841962532,49,386.34522669376366,-859.4802128919451,0,random,7,-6150.471931185954
773.1731629479195,0.4998134925189729,15.0,0.05938155333620377,8613.625618138809,23.752621334481507,1,7.696368380454144,-862.3625618138809,0,random,8,-7012.834492999836
728.770762787903,3.9975074391407395,15.0,0.06937532193405561,8244.550551039432,27.750128773622247,78,603.0750670993773,-825.4550551039433,0,random,9,-7838.289548103779
730.4351072364448,2.938585396290194,15.0,0.0767217854247811,8258.676403027659,30.68871416991244,24,174.90498306909672,-826.867640302766,0,random,10,-8665.157188406545
681.7629710494024,4.2967847960801695,15.0,0.08746374741498153,7835.284806514859,34.98549896599261,90,657.3915965128003,-784.528480651486,0,random,11,-9449.685669058032
651.2429022671674,4.443826921601383,15.0,0.09857331471898499,7557.962578227807,39.429325887594,75,511.32222828705176,-756.7962578227807,0,random,12,-10206.481926880813
647.6818142057793,3.683137909255399,15.0,0.1077811594921235,7524.952988298269,43.1124637968494,41,267.0095899295386,-753.4952988298269,0,random,13,-10959.97722571064
639.4463316734563,3.335386918756357,15.0,0.11611962678901439,7448.065717479495,46.44785071560575,48,310.8872708187741,-745.8065717479495,0,random,14,-11705.78379745859
626.3294920104911,3.338569959583075,15.0,0.12446605168797208,7323.97577174236,49.78642067518883,56,358.08994573713557,-733.3975771742361,0,random,15,-12439.181374632824
591.8990035063482,4.148564784880426,15.0,0.13483746365017313,6988.015934012813,53.93498546006926,91,569.959837729547,-699.8015934012814,0,random,16,-13138.982968034106
589.8475800993228,3.4126722734683637,15.0,0.14336914433384407,6967.499362505083,57.34765773353762,43,254.51657150772974,-697.7499362505083,0,random,17,-13836.732904284614
578.5552335282296,3.336666068887884,15.0,0.15171080950606378,6853.489290246483,60.68432380242551,59,348.0100722586005,-686.3489290246483,0,random,18,-14523.081833309263
581.0583863077972,1.4972589667312173,15.0,0.15545395692289182,6878.920889844312,62.181582769156726,8,46.28441868225837,-688.8920889844312,0,random,19,-15211.973922293695
582.8110997021872,1.2446422731876705,15.0,0.158565562605861,6896.673632448327,63.4262250423444,23,133.64342885079336,-690.6673632448328,0,random,20,-15902.641285538528
580.0226003561495,2.30155714830521,15.0,0.16431945547662402,6868.408637582343,65.7277821906496,45,262.26499486598425,-687.8408637582343,0,random,21,-16590.48214929676
557.7459026202932,3.403289243181785,15.0,0.17282767858457848,6638.390557297423,69.1310714338314,80,464.0180802849196,-664.8390557297423,0,random,22,-17255.321205026503
559.2498015969102,2.370261323560513,15.0,0.17875333189347978,6654.163315142132,71.5013327573919,28,156.16885273368212,-666.4163315142132,0,random,23,-17921.737536540717
544.9128492445521,3.075489608183717,15.0,0.18644205591393906,6502.280952040264,74.57682236557562,69,385.882363101868,-651.2280952040264,0,random,24,-18572.965631744744
547.5375420882531,0.7342966583718046,15.0,0.18827779755986856,6530.344016856807,75.31111902394743,3,16.347385477336562,-654.0344016856807,0,random,25,-19227.000033430424
531.199201815652,3.1727892648360383,15.0,0.19620977072195867,6353.690860290617,78.48390828878347,75,410.6531565661898,-636.3690860290617,0,random,26,-19863.369119459487
532.5718707239855,2.2533425121296142,15.0,0.2018431270022827,6368.716213240342,80.73725080091309,31,164.67175256285213,-637.8716213240342,0,random,27,-20501.24074078352
513.376157213258,3.321984410284648,15.0,0.21014808802799434,6155.355841832194,84.05923521119773,84,447.36037140814784,-616.5355841832194,0,random,28,-21117.77632496674
502.8400361119345,3.314990511511709,15.0,0.2184355643067736,6035.126293355046,87.37422572270944,69,354.229548477148,-604.5126293355046,0,random,29,-21722.288954302247
499.5922883201863,2.93295819639892,15.0,0.2257679597977709,5997.592673854601,90.30718391910835,54,271.5336195004447,-600.7592673854601,0,random,30,-22323.048221687706
484.6542698380907,3.3718112556579234,15.0,0.23419748793691567,5821.926997432049,93.67899517476627,82,409.66567642255274,-583.1926997432049,0,random,31,-22906.240921430912
486.73815605326286,1.6020120847144488,15.0,0.2382025181487018,5846.740875296984,95.28100725948072,11,53.31196968218998,-585.6740875296985,0,random,32,-23491.915008960612
489.22680178476054,-1.5043340870577984,15.0,0.2344416829310573,5876.240875296984,93.77667317242292,0,0.0,-688.6240875296984,0,random,33,-24180.53909649031
472.4778977293087,4.385873141051789,15.0,0.24540636578368677,5674.829021708547,98.1625463134747,89,435.4118535884369,-568.4829021708547,0,random,34,-24749.021998661163
