episode,epsilon,total_reward,steps,exit_reason
0,0.9978023084607315,-694.537762666088,86,terminated
1,0.9883676006096995,-906.1969646114408,95,terminated
2,0.9803937619916837,-387.51261209935024,81,terminated
3,0.9712207825228317,-804.359311336816,94,terminated
4,0.962614840505239,-597.7260592329305,89,terminated
5,0.9544668848278777,-494.11531515735,85,terminated
6,0.9457256238755333,-1100.6397924381629,92,terminated
7,0.9384711394514138,-382.37324500513614,77,terminated
8,0.9306206077434487,-492.5530451871574,84,terminated
9,0.9232049741798795,-285.3008809736781,80,terminated
10,0.9158484319588951,-487.387223798406,80,terminated
11,0.907823924147297,-698.2338306555879,88,terminated
12,0.9002297636002465,-490.91481841579076,84,terminated
13,0.8923421038978743,-596.4073982744944,88,terminated
14,0.8850544544571989,-388.9374183143812,82,terminated
