power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward,episode,step,total_reward
879.2673444555638,3.977738082306145,15.0,0.009944345205765363,9438.2159912,3.977738082306145,6,553.7840087999999,-944.8215991200001,0,1,-944.8215991200001
863.5403939267597,3.6869424095787853,15.0,0.019161701229712325,9320.509053417774,7.66468049188493,4,351.70693778222557,-933.0509053417775,0,2,-1877.8725044617777
865.443202694831,2.6819043512677156,15.0,0.025866462107881613,9334.828013292541,10.346584843152645,2,172.70807878535197,-934.4828013292541,0,3,-2812.3553057910317
862.0389362970735,2.5413403712145537,15.0,0.032219813035918,9309.195052484092,12.887925214367199,3,259.6329608084493,-931.9195052484092,0,4,-3744.274811039441
792.2311388147133,4.572772486095389,15.0,0.04365174425115647,8767.360009816726,17.46069770046259,9,775.8350426673662,-877.7360009816726,0,5,-4622.010812021113
794.1800786689935,3.346152238975281,15.0,0.05201712484859468,8782.932586396364,20.80684993943787,2,158.44622776294267,-879.2932586396364,0,6,-5501.30407066075
735.5772390758865,4.623240239075332,15.0,0.06357522544628301,8302.17051559427,25.430090178513204,9,714.7620708020942,-831.217051559427,0,7,-6332.521122220177
702.8339208667088,4.65580625261832,15.0,0.07521474107782881,8021.266448241148,30.085896431131523,7,514.9040673531205,-803.1266448241149,0,8,-7135.647767044292
704.8006624047335,3.3427871223432124,15.0,0.08357170888368684,8038.410627912312,33.428683553474734,2,140.56678417334177,-804.8410627912313,0,9,-7940.488829835524
675.4871655808652,3.877730228195213,15.0,0.09326603445417486,7779.050164228998,37.306413781669946,7,493.36046368331347,-778.9050164228998,0,10,-8719.393846258423
642.0716964922492,4.303962475205065,15.0,0.10402594064218754,7472.660431764306,41.610376256875014,8,540.3897324646922,-748.2660431764307,0,11,-9467.659889434854
619.36128726336,4.244744842649784,15.0,0.11463780274881198,7257.210244219732,45.855121099524794,7,449.4501875445744,-726.7210244219732,0,12,-10194.380913856827
617.9345415796872,3.4559975696973937,15.0,0.12327779667305547,7243.465729314388,49.31111866922219,4,247.74451490534403,-725.3465729314389,0,13,-10919.727486788266
621.0000346758941,1.1616602812300723,15.0,0.12618194737613064,7272.965729314388,50.47277895045226,0,0.0,-728.2965729314388,0,14,-11648.024059719704
622.9373233288532,1.1847919717260749,15.0,0.12914392730544585,7291.548548704786,51.65757092217834,2,124.20000693517882,-730.1548548704786,0,15,-12378.178914590182
621.3549506655347,2.226834495281408,15.0,0.13471101354364937,7276.373619373245,53.884405417459746,4,249.17492933154128,-728.6373619373245,0,16,-13106.816276527506
622.7223205773751,1.882206998304673,15.0,0.13941653103941104,7289.488489324194,55.76661241576442,3,186.4064851996604,-729.9488489324194,0,17,-13836.765125459926
625.2335709743893,-0.6018399608438405,15.0,0.13791193113730146,7313.514760126319,55.16477245492058,1,62.27223205773751,-832.3514760126319,0,18,-14669.116601472559
591.5775123015144,4.271623295626643,15.0,0.14859098937636805,6984.804546249368,59.43639575054722,9,562.7102138769504,-699.4804546249369,0,19,-15368.597056097495
594.5361783291154,2.237369046196344,15.0,0.1541844119918589,7014.304546249368,61.67376479674356,0,0.0,-702.4304546249368,0,20,-16071.027510722432
588.2057386453502,2.593210413556283,15.0,0.16066743802574962,6951.0364570848105,64.26697521029985,5,297.2680891645577,-696.103645708481,0,21,-16767.131156430914
590.1168567922825,1.4865476523466958,15.0,0.16438380715661638,6970.195800199425,65.75352286264655,2,117.64114772907004,-698.0195800199426,0,22,-17465.150736450858
566.7322463592673,3.3495828300254815,15.0,0.17275776423168007,6732.1023147656,69.10310569267203,8,472.09348543382606,-674.21023147656,0,23,-18139.36096792742
535.3821120642386,4.142098108025626,15.0,0.18311300950174414,6399.370068406332,73.24520380069765,10,566.7322463592673,-640.9370068406333,0,24,-18780.29797476805
536.7972360292443,2.9884813368355525,15.0,0.190584212843833,6414.7520421111985,76.2336851375332,3,160.6146336192716,-642.47520421112,0,25,-19422.773178979172
538.6479966429749,1.6988327697396421,15.0,0.1948312947681821,6434.815146701804,77.93251790727284,2,107.35944720584888,-644.4815146701804,0,26,-20067.254693649353
525.574895293699,2.9214215154424585,15.0,0.20213484855678826,6291.761549051722,80.8539394227153,7,377.05359765008245,-630.1761549051722,0,27,-20697.430848554526
527.4089974762098,1.623684213917897,15.0,0.206194059091583,6312.021942392459,82.4776236366332,2,105.1149790587398,-632.202194239246,0,28,-21329.633042793772
524.7219173603114,2.296813315888917,15.0,0.21193609238130529,6282.317443654354,84.77443695252211,5,263.7044987381049,-629.2317443654355,0,29,-21958.864787159207
526.9724283871637,-0.4280736006535122,15.0,0.2108659083796715,6307.205138000757,84.3463633518686,1,52.47219173603114,-731.7205138000758,0,30,-22690.585300959283
510.22400161458785,3.676040507697582,15.0,0.22005600964891545,6119.627195291026,88.02240385956618,8,421.577942709731,-612.9627195291026,0,31,-23303.548020488386
499.4954822228999,3.523836476619049,15.0,0.2288656008404631,5996.470394160814,91.54624033618524,7,357.1568011302115,-600.6470394160814,0,32,-23904.19505990447
493.8592654876835,3.1888428234273287,15.0,0.23683770789903139,5930.773104827074,94.73508315961256,6,299.69728933373995,-594.0773104827075,0,33,-24498.272370387174
