,power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward
0,922.973348,1.6239047720144888,15.0,0.004059761930036222,9758.0,1.6239047720144888,0.1,92.2973348,0
1,922.973348,0.6148567729473301,15.0,0.005596903862404547,9758.0,2.238761544961819,0.1,92.2973348,0
2,922.973348,1.0811374120301234,15.0,0.008299747392479856,9758.0,3.3198989569919424,0.1,92.2973348,0
3,922.973348,0.7449192592531011,15.0,0.01016204554061261,9758.0,4.064818216245044,0.1,92.2973348,0
4,922.973348,0.9769618380907835,15.0,0.012604450135839568,9758.0,5.0417800543358275,0.1,92.2973348,0
5,922.973348,0.8092576352411992,15.0,0.014627594223942567,9758.0,5.851037689577026,0.1,92.2973348,0
6,922.973348,0.9277687912315763,15.0,0.016947016202021506,9758.0,6.778806480808603,0.1,92.2973348,0
7,922.973348,0.8423410132926418,15.0,0.019052868735253112,9758.0,7.621147494101245,0.1,92.2973348,0
8,922.973348,0.9031915098004634,15.0,0.02131084750975427,9758.0,8.524339003901709,0.1,92.2973348,0
9,922.973348,0.8594316020277382,15.0,0.02345942651482362,9758.0,9.383770605929447,0.1,92.2973348,0
10,922.973348,0.8907042663954976,15.0,0.02568618718081236,9758.0,10.274474872324944,0.1,92.2973348,0
11,922.973348,0.8682487228396485,15.0,0.027856808987911482,9758.0,11.142723595164593,0.1,92.2973348,0
12,922.973348,0.8843204409311365,15.0,0.030067610090239325,9758.0,12.02704403609573,0.1,92.2973348,0
13,922.973348,0.872789883204457,15.0,0.032249584798250464,9758.0,12.899833919300185,0.1,92.2973348,0
14,922.973348,0.8810484159832997,15.0,0.03445220583820871,9758.0,13.780882335283485,0.1,92.2973348,0
15,922.973348,0.8751261081638984,15.0,0.036640021108618456,9758.0,14.656008443447384,0.1,92.2973348,0
16,922.973348,0.879369367771436,15.0,0.03883844452804705,9758.0,15.535377811218819,0.1,92.2973348,0
17,922.973348,0.8763272051636253,15.0,0.04102926254095611,9758.0,16.411705016382445,0.1,92.2973348,0
18,922.973348,0.8785072722792406,15.0,0.043225530721654214,9758.0,17.290212288661685,0.1,92.2973348,0
19,922.973348,0.8769444919687261,15.0,0.04541789195157603,9758.0,18.16715678063041,0.1,92.2973348,0
20,922.973348,0.8780645112670477,15.0,0.04761305322974365,9758.0,19.04522129189746,0.1,92.2973348,0
21,922.973348,0.877261678178064,15.0,0.04980620742518881,9758.0,19.922482970075524,0.1,92.2973348,0
22,922.973348,0.8778370828239113,15.0,0.052000800132248594,9758.0,20.800320052899437,0.1,92.2973348,0
23,922.973348,0.8774246449578553,15.0,0.05419436174464323,9758.0,21.677744697857293,0.1,92.2973348,0
24,922.973348,0.8777202536170472,15.0,0.056388662378685846,9758.0,22.555464951474338,0.1,92.2973348,0
25,922.973348,0.8775083712528237,15.0,0.0585824333068179,9758.0,23.43297332272716,0.1,92.2973348,0
26,922.973348,0.8776602366494505,15.0,0.06077658389844153,9758.0,24.310633559376612,0.1,92.2973348,0
27,922.973348,0.8775513855984469,15.0,0.06297046236243765,9758.0,25.18818494497506,0.1,92.2973348,0
28,922.973348,0.8776294044254799,15.0,0.06516453587350135,9758.0,26.06581434940054,0.1,92.2973348,0
29,922.973348,0.877573483901724,15.0,0.06735846958325566,9758.0,26.943387833302264,0.1,92.2973348,0
30,922.973348,0.8776135649843507,15.0,0.06955250349571654,9758.0,27.821001398286615,0.1,92.2973348,0
31,922.973348,0.8775848366638115,15.0,0.07174646558737606,9758.0,28.698586234950426,0.1,92.2973348,0
32,922.973348,0.8776054277464825,15.0,0.07394047915674226,9758.0,29.576191662696907,0.1,92.2973348,0
33,922.973348,0.8775906690006878,15.0,0.076134455829244,9758.0,30.453782331697596,0.1,92.2973348,0
34,922.973348,0.8776012473711557,15.0,0.07832845894767188,9758.0,31.331383579068753,0.1,92.2973348,0
35,922.973348,0.8775936652839775,15.0,0.08052244311088183,9758.0,32.20897724435273,0.1,92.2973348,0
36,922.973348,0.877599099767628,15.0,0.0827164408603009,9758.0,33.08657634412036,0.1,92.2973348,0
37,922.973348,0.8775952045820875,15.0,0.08491042887175611,9758.0,33.964171548702446,0.1,92.2973348,0
38,922.973348,0.8775979964686048,15.0,0.08710442386292762,9758.0,34.84176954517105,0.1,92.2973348,0
39,922.973348,0.8775959953743128,15.0,0.0892984138513634,9758.0,35.71936554054536,0.1,92.2973348,0
40,922.973348,0.8775974296651241,15.0,0.09149240742552621,9758.0,36.596962970210484,0.1,92.2973348,0
41,922.973348,0.8775964016323236,15.0,0.09368639842960702,9758.0,37.47455937184281,0.1,92.2973348,0
42,922.973348,0.8775971384782055,15.0,0.09588039127580254,9758.0,38.35215651032102,0.1,92.2973348,0
43,922.973348,0.8775966103414448,15.0,0.09807438280165615,9758.0,39.22975312066246,0.1,92.2973348,0
44,922.973348,0.8775969888852123,15.0,0.10026837527386917,9758.0,40.10735010954767,0.1,92.2973348,0
45,922.973348,0.8775967175627015,15.0,0.10246236706777592,9758.0,40.98494682711037,0.1,92.2973348,0
46,922.973348,0.8775969120340101,15.0,0.10465635934786094,9758.0,41.86254373914438,0.1,92.2973348,0
47,922.973348,0.8775967726460515,15.0,0.10685035127947608,9758.0,42.74014051179043,0.1,92.2973348,0
48,922.973348,0.8775968725528335,15.0,0.10904434346085816,9758.0,43.617737384343265,0.1,92.2973348,0
49,922.973348,0.8775968009443148,15.0,0.11123833546321896,9758.0,44.49533418528758,0.1,92.2973348,0
50,922.973348,0.8775968522699583,15.0,0.11343232759389385,9758.0,45.37293103755754,0.1,92.2973348,0
