,power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward
0,830.5894722024044,5.135237782782243,15.0,0.012838094456955607,9069.026652,5.135237782782243,1.0,922.973348,0
1,755.961947872851,5.8272973425906045,15.0,0.027406337813432116,8472.437179797596,10.962535125372847,1.0,830.5894722024044,0
2,694.7564879275687,6.082448488340906,15.0,0.042612459034284386,7950.4752319247455,17.044983613713754,1.0,755.961947872851,0
3,643.897561160472,6.113365299949777,15.0,0.05789587228415883,7489.718743997177,23.15834891366353,1.0,694.7564879275687,0
4,601.1506645871276,6.015453802271468,15.0,0.0729345067898375,7079.821182836705,29.173802715934997,1.0,643.897561160472,0
5,564.8587605980133,5.842023654350884,15.0,0.0875395659257147,6712.670518249577,35.01582637028588,1.0,601.1506645871276,0
6,533.7708162132967,5.626329259545787,15.0,0.10160538907457915,6381.811757651563,40.64215562983166,1.0,564.8587605980133,0
7,506.92724825862695,5.390402772530419,15.0,0.11508139600590521,6082.040941438267,46.032558402362085,1.0,533.7708162132967,0
8,483.58157479632354,5.149260714176756,15.0,0.1279545477913471,5809.11369317964,51.18181911653884,1.0,506.92724825862695,0
9,463.14570549963145,4.913144051112057,15.0,0.14023740791912723,5559.532118383317,56.094963167650896,1.0,483.58157479632354,0
10,445.15102392421744,4.688823841347778,15.0,0.15195946752249667,5330.386412883685,60.78378700899867,1.0,463.14570549963145,0
11,429.22023816763175,4.480441439531826,15.0,0.16316057112132626,5119.235388959468,65.2642284485305,1.0,445.15102392421744,0
12,415.0467112834141,4.2901178373537405,15.0,0.1738858657147106,4924.015150791836,69.55434628588424,1.0,429.22023816763175,0
13,402.3790747380801,4.118449596381347,15.0,0.18418198970566396,4742.968439508422,73.67279588226559,1.0,415.0467112834141,0
14,391.00963053286125,3.9649411669594232,15.0,0.19409434262306252,4574.589364770342,77.63773704922501,1.0,402.3790747380801,0
15,380.765508347166,3.8283838775702246,15.0,0.20366530231698807,4417.579734237481,81.46612092679523,1.0,391.00963053286125,0
16,371.50185178401733,3.707173653314281,15.0,0.2129332364502738,4270.814225890314,85.17329458010951,1.0,380.765508347166,0
17,363.0965167340261,3.5995574795531393,15.0,0.22193213014915664,4133.312374106297,88.77285205966265,1.0,371.50185178401733,0
18,355.4459088989771,3.503805930219688,15.0,0.23069164497470585,4004.2158573722713,92.27665798988234,1.0,363.0965167340261,0
19,348.4616881908597,3.4183185865038563,15.0,0.23923744144096548,3882.7699484732943,95.6949765763862,1.0,355.4459088989771,0
20,342.0681390102394,3.341675946782389,15.0,0.24759163130792147,3768.3082602824347,99.03665252316858,1.0,348.4616881908597,0
21,336.2000564965209,3.2726537707064103,-20.0,0.2557732657346875,3660.240121272195,102.309306293875,1.0,342.0681390102394,0
22,332.56097259239186,5.609124638568626,-20.0,0.26979607733110905,3591.6600704253265,107.91843093244363,0.9,302.58005084686886,0
23,329.15688368238693,7.75450723122838,-20.0,0.28918234540918,3526.3551950921737,115.672938163672,0.9,299.30487533315267,0
24,325.96806282369624,9.757203086491796,-20.0,0.3135753531254095,3464.1139997780256,125.4301412501638,0.9,296.24119531414823,0
25,322.9768203428051,11.62779045558268,-20.0,0.34264482926436624,3404.742743236699,137.05793170574648,0.9,293.3712565413266,0
26,320.1672556098473,13.366679156292156,-20.0,0.3760615271550966,3348.0636049281743,150.42461086203863,0.9,290.6791383085246,0
27,317.5250434862486,14.972053725945894,-20.0,0.4134916614699613,3293.913074879312,165.39666458798453,0.9,288.1505300488626,0
28,315.0372500067017,16.442818964559365,-20.0,0.4545987088813597,3242.140535741688,181.8394835525439,0.9,285.77253913762377,0
29,312.69217279968126,17.779728367452126,-20.0,0.49904802979999,3192.6070107356563,199.61921191999602,0.9,283.53352500603154,0
30,310.4792025152889,18.985685116356954,20.0,0.5465122425908825,3145.1840552159433,218.60489703635298,0.9,281.4229555197131,0
31,306.97666747213134,16.044002306169638,20.0,0.5866222483563065,3068.7048527006546,234.6488993425226,1.0,310.4792025152889,0
32,303.7108863444337,13.437979536561903,20.0,0.6202171971977113,2995.728185228523,248.0868788790845,1.0,306.97666747213134,0
33,300.66088042101603,11.097937658467051,20.0,0.6479620413438789,2926.0172988840895,259.18481653755157,1.0,303.7108863444337,0
34,297.8079536571069,8.979429062064723,20.0,0.6704106139990407,2859.3564184630736,268.16424559961627,1.0,300.66088042101603,0
35,295.13540000260673,7.0602510341879094,20.0,0.6880612415845104,2795.548464805967,275.22449663380416,1.0,297.8079536571069,0
36,292.62825371181884,5.344666845779196,20.0,0.7014229086989584,2734.41306480336,280.5691634795834,1.0,295.13540000260673,0
37,290.2730755523879,3.879420954785948,20.0,0.7111214610859232,2675.784811091541,284.4485844343693,1.0,292.62825371181884,0
38,288.05776912013147,2.7837242587520388,20.0,0.7180807717328034,2619.511735539153,287.23230869312135,1.0,290.2730755523879,0
39,285.9714224994694,2.213547796279682,20.0,0.7236146412235026,2565.4539664190215,289.445856489401,1.0,288.05776912013147,0
40,284.0041713411331,2.0723090647117024,20.0,0.7287954138852818,2513.482543919552,291.5181655541127,1.0,285.9714224994694,0
41,282.1470801020617,2.049317084496772,20.0,0.7339187065965237,2463.478372578419,293.5674826386095,1.0,284.0041713411331,0
42,280.39203873960423,2.035684220405054,20.0,0.7390079171475363,2415.3312924763572,295.60316685901455,1.0,282.1470801020617,0
43,278.73167259885844,2.0230642795602414,20.0,0.7440655778464369,2368.939253736753,297.6262311385748,1.0,280.39203873960423,0
44,277.1592635981492,2.01113730847267,20.0,0.7490934211176186,2324.2075811378945,299.63736844704744,1.0,278.73167259885844,0
45,275.6686811189977,1.9998476977877093,0.0,0.7540930403620878,2281.0483175397453,301.6372161448351,1.0,277.1592635981492,0
46,275.1873021413146,3.2960742009119683,0.0,0.7623332258643677,2266.9465045326474,304.9332903457471,0.9,248.10181300709795,0
47,274.72336933595983,4.177137968518513,0.0,0.772776070785664,2253.2779326054642,309.1104283142656,0.9,247.66857192718314,0
48,274.2761054659017,4.872385645869424,0.0,0.7849570349003376,2240.0269002031005,313.98281396013505,0.9,247.25103240236385,0
49,273.8447758748898,5.4520899204511535,0.0,0.7985872597014655,2227.178405283789,319.4349038805862,0.9,246.84849491931155,0
50,273.4286857002953,5.949383520445507,0.0,0.8134607185025793,2214.718106996388,325.3842874010317,0.9,246.46029828740083,0
51,273.02717729721826,6.38326707149126,0.0,0.8294188861813074,2202.6322898661224,331.767554472523,0.9,246.08581713026578,0
52,272.6396278557337,6.766000300025418,0.0,0.846333886931371,2190.907830298626,338.5335547725484,0.9,245.72445956749644,0
53,272.26544719488385,7.1061527873152786,0.0,0.8640992688996593,2179.5321652284656,345.6397075598637,0.9,245.37566507016032,0
54,271.90407571857025,7.410072429982622,0.0,0.8826244499746159,2168.49326275307,353.04977998984634,0.9,245.03890247539547,0
55,271.55498251989167,7.682671172136164,0.0,0.9018311279049562,2157.779594606357,360.7324511619825,0.9,244.71366814671325,0
56,271.21766362171877,7.927879606168739,0.0,0.9216508269203781,2147.3801103384544,368.66033076815125,0.9,244.3994842679025,0
57,270.89164034241577,8.148926457651836,0.0,0.9420231430645077,2137.2842130789077,376.8092572258031,0.9,244.0958972595469,0
58,270.5764577766238,8.348519060216866,0.0,0.9628944407150499,2127.4817367707333,385.15777628601995,0.9,243.8024763081742,0
59,270.2716833819297,8.528964782335509,0.0,0.9842168526708887,2117.9629247717717,393.68674106835545,0.9,243.5188119989614,0
60,269.976905663056,8.692255663242678,0.0,1.0,2108.718409728035,400.0,0.9,243.24451504373673,0
