power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_output,reward
922.973348,5.135237782782243,15,0.0005135237782782243,9069.026652,5.135237782782243,1.0,922.973348,921.973348
830.5894722024044,5.8272973425906045,15.0,0.0010962535125372847,8472.437179797596,10.962535125372847,1.0,830.5894722024044,829.5894722024044
755.961947872851,6.082448488340906,15.0,0.0017044983613713754,7950.4752319247455,17.044983613713754,1.0,755.961947872851,754.961947872851
694.7564879275687,6.113365299949777,15.0,0.0023158348913663532,7489.718743997177,23.15834891366353,1.0,694.7564879275687,693.7564879275687
643.897561160472,6.015453802271468,15.0,0.0029173802715934997,7079.821182836705,29.173802715934997,1.0,643.897561160472,642.897561160472
601.1506645871276,5.842023654350884,15.0,0.003501582637028588,6712.670518249577,35.01582637028588,1.0,601.1506645871276,600.1506645871276
564.8587605980133,5.626329259545787,15.0,0.0040642155629831665,6381.811757651563,40.64215562983166,1.0,564.8587605980133,563.8587605980133
533.7708162132967,5.390402772530419,15.0,0.004603255840236208,6082.040941438267,46.032558402362085,1.0,533.7708162132967,532.7708162132967
506.92724825862695,5.149260714176756,15.0,0.005118181911653884,5809.11369317964,51.18181911653884,1.0,506.92724825862695,505.92724825862695
483.58157479632354,4.913144051112057,15.0,0.005609496316765089,5559.532118383317,56.094963167650896,1.0,483.58157479632354,482.58157479632354
463.14570549963145,4.688823841347778,15.0,0.006078378700899867,5330.386412883685,60.78378700899867,1.0,463.14570549963145,462.14570549963145
445.15102392421744,4.480441439531826,15.0,0.00652642284485305,5119.235388959468,65.2642284485305,1.0,445.15102392421744,444.15102392421744
429.22023816763175,4.2901178373537405,15.0,0.006955434628588423,4924.015150791836,69.55434628588424,1.0,429.22023816763175,428.22023816763175
415.0467112834141,4.118449596381347,15.0,0.007367279588226559,4742.968439508422,73.67279588226559,1.0,415.0467112834141,414.0467112834141
402.3790747380801,3.9649411669594232,15.0,0.007763773704922501,4574.589364770342,77.63773704922501,1.0,402.3790747380801,401.3790747380801
391.00963053286125,3.8283838775702246,15.0,0.008146612092679523,4417.579734237481,81.46612092679523,1.0,391.00963053286125,390.00963053286125
380.765508347166,3.707173653314281,15.0,0.008517329458010951,4270.814225890314,85.17329458010951,1.0,380.765508347166,379.765508347166
371.50185178401733,3.5995574795531393,15.0,0.008877285205966265,4133.312374106297,88.77285205966265,1.0,371.50185178401733,370.50185178401733
363.0965167340261,3.503805930219688,15.0,0.009227665798988234,4004.2158573722713,92.27665798988234,1.0,363.0965167340261,362.0965167340261
355.4459088989771,3.4183185865038563,15.0,0.00956949765763862,3882.7699484732943,95.6949765763862,1.0,355.4459088989771,354.4459088989771
348.4616881908597,3.341675946782389,15.0,0.009903665252316859,3768.3082602824347,99.03665252316858,1.0,348.4616881908597,347.4616881908597
342.0681390102394,3.2726537707064103,15.0,0.0102309306293875,3660.240121272195,102.309306293875,1.0,342.0681390102394,341.0681390102394
336.2000564965209,3.210214460582113,15.0,0.01055195207544571,3558.040064775674,105.5195207544571,1.0,336.2000564965209,335.2000564965209
330.8010358668262,3.1534867866069107,15.0,0.0108673007541064,3461.239028908848,108.67300754106401,1.0,330.8010358668262,329.8010358668262
325.82207907318343,3.1017415700385906,15.0,0.01117747491111026,3369.4169498356646,111.7747491111026,1.0,325.82207907318343,324.82207907318343
321.2204530575011,3.054367784732803,15.0,0.01148291168958354,3282.1964967781632,114.8291168958354,1.0,321.2204530575011,320.2204530575011
316.9587488468297,3.010851261442189,15.0,0.011783996815727758,3199.2377479313336,117.83996815727758,1.0,316.9587488468297,315.9587488468297
313.00410199476335,2.970756745080667,15.0,0.012081072490235824,3120.23364593657,120.81072490235825,1.0,313.00410199476335,312.00410199476335
309.32754342229646,2.9337132672993618,15.0,0.012374443816965761,3044.9061025142737,123.74443816965761,1.0,309.32754342229646,308.32754342229646
305.9034562476835,2.8994024369987037,15.0,0.012664384060665631,2973.00264626659,126.64384060665631,1.0,305.9034562476835,304.9034562476835
302.7091192293702,2.867549141629899,15.0,0.01295113897482862,2904.29352703722,129.5113897482862,1.0,302.7091192293702,301.7091192293702
299.7243213505177,2.8379141694448182,15.0,0.013234930391773102,2838.5692056867024,132.34930391773102,1.0,299.7243213505177,298.7243213505177
296.9310351213893,2.810288332577037,15.0,0.013515959225030806,2775.638170565313,135.15959225030807,1.0,296.9310351213893,295.9310351213893
294.31313856959434,2.784487752768812,15.0,0.013794408000307689,2715.3250319957187,137.9440800030769,1.0,294.31313856959434,293.31313856959434
291.856177779268,2.760350047053772,15.0,0.014070443005013067,2657.468854216451,140.70443005013067,1.0,291.856177779268,290.856177779268
289.5471633426113,2.7377312131646163,15.0,0.014344216126329528,2601.9216908738395,143.44216126329528,1.0,289.5471633426113,288.5471633426113
287.3743952870883,2.716503063206071,15.0,0.014615866432650134,2548.5472955867513,146.15866432650134,1.0,287.3743952870883,286.3743952870883
285.32731200474734,2.6965510910102,15.0,0.014885521541751155,2497.219983582004,148.85521541751154,1.0,285.32731200474734,284.32731200474734
283.39635948704773,2.6777726860221387,15.0,0.015153298810353369,2447.823624094956,151.53298810353368,1.0,283.39635948704773,282.39635948704773
281.57287779815994,2.660075626852967,15.0,0.015419306373038665,2400.250746296796,154.19306373038665,1.0,281.57287779815994,280.57287779815994
279.8490022321709,2.6433768026678197,15.0,0.015683644053305447,2354.4017440646253,156.83644053305449,1.0,279.8490022321709,278.8490022321709
278.2175770185305,2.6276011217878494,15.0,0.015946404165484235,2310.184167046095,159.46404165484233,1.0,278.2175770185305,277.2175770185305
