power_max_w,velocity,gradient,percent_complete,AWC,ghost_percent_complete,position,action,power_agent_w,reward,episode,ghost_action,step,total_reward
830.5894722024044,5.135237782782243,15.0,0.012838094456955607,9069.026652,0.012838094456955607,5.135237782782243,10,922.973348,-1.0,0,10,1,0
755.961947872851,5.8272973425906045,15.0,0.027406337813432116,8472.437179797596,0.027406337813432116,10.962535125372847,10,830.5894722024044,-1.0,0,10,2,-1.0
720.88121142551,5.524174669071427,15.0,0.041216774486110684,8177.263816286601,0.042612459034284386,16.486709794444273,7,529.1733635109957,-1.0013956845481737,0,10,3,-2.0
665.681772255231,5.7984158472734615,15.0,0.055712814104294336,7690.382604861091,0.05789587228415883,22.285125641717734,10,720.88121142551,-1.0021830581798645,0,10,4,-3.0013956845481737
647.6840267482314,5.1551667140156034,15.0,0.06860073088933334,7524.973541507952,0.0729345067898375,27.440292355733337,6,399.40906335313855,-1.0043337759005042,0,10,5,-4.003578742728038
604.3490358230682,5.372914348346067,15.0,0.08203301676019852,7111.289514759721,0.0875395659257147,32.813206704079406,10,647.6840267482314,-1.0055065491655162,0,10,6,-5.007912518628542
603.5611130863326,4.337117598538493,15.0,0.09287581075654475,7103.549900430494,0.10160538907457915,37.150324302617896,4,241.7396143292273,-1.0087295783180343,0,10,7,-6.013419067794058
566.9144091274297,4.7537307906875945,15.0,0.10476013773326372,6733.988787344161,0.11508139600590521,41.90405509330549,10,603.5611130863326,-1.0103212582726415,0,10,8,-7.022148646112092
551.3736087626307,4.369050472146057,15.0,0.11568276391362886,6571.14870095496,0.1279545477913471,46.273105565451544,7,396.8400863892008,-1.0122717838777182,0,10,9,-8.032469904384733
522.1516030381185,4.612940764004359,15.0,0.12721511582363976,6253.775092192329,0.14023740791912723,50.8860463294559,10,551.3736087626307,-1.0130222920954874,0,10,10,-9.044741688262452
519.7238967638455,3.789940719755444,15.0,0.13668996762302835,6226.699290673269,0.15195946752249667,54.675987049211344,5,261.07580151905927,-1.0152694998994682,0,10,11,-10.057763980357938
494.7305638232524,4.188668524985937,15.0,0.1471616389354932,5940.975393909424,0.16316057112132626,58.86465557419728,10,519.7238967638455,-1.0159989321858331,0,10,12,-11.073033480257406
472.920832417243,4.325766370195512,15.0,0.15797605486098198,5680.244830086172,0.1738858657147106,63.19042194439279,10,494.7305638232524,-1.0159098108537286,0,10,13,-12.089032412443238
457.4981623715117,4.1777230704004324,15.0,0.16842036253698303,5488.616080910654,0.18418198970566396,67.36814501479321,9,425.6287491755187,-1.015761627168681,0,10,14,-13.104942223296966
440.1600380854936,4.1943844681855165,15.0,0.17890632370744683,5265.117918539142,0.19409434262306252,71.56252948297873,10,457.4981623715117,-1.0151880189156157,0,10,15,-14.120703850465647
424.7869869784719,4.145144946257221,15.0,0.18926918607308987,5058.957880453649,0.20366530231698807,75.70767442923595,10,440.1600380854936,-1.0143961162438981,0,10,16,-15.135891869381263
411.09040799154525,4.061287669878629,15.0,0.19942240524778643,4868.170893475177,0.2129332364502738,79.76896209911457,10,424.7869869784719,-1.0135108312024874,0,10,17,-16.150287985625162
398.8331379656098,3.960957118344634,15.0,0.20932479804364804,4691.0804854836315,0.22193213014915664,83.72991921745921,10,411.09040799154525,-1.0126073321055087,0,10,18,-17.16379881682765
387.81877425568894,3.85505494408444,15.0,0.21896243540385915,4526.247347518021,0.23069164497470585,87.58497416154366,10,398.8331379656098,-1.0117292095708468,0,10,19,-18.17640614893316
389.08699784237433,2.511327563531305,15.0,0.22524075431268742,4545.520566440899,0.23923744144096548,90.09630172507497,3,116.34563227670668,-1.013996687128278,0,10,20,-19.188135358504006
379.02934564971406,3.13078873632901,15.0,0.23306772615350993,4390.433568598524,0.24759163130792147,93.22709046140398,10,389.08699784237433,-1.0145239051544115,0,10,21,-20.202132045632283
374.64877983096403,2.983998169912722,15.0,0.24052772157829175,4321.210092078753,0.2557732657346875,96.2110886313167,8,303.2234765197713,-1.0152455441563957,0,10,22,-21.216655950786695
365.95494121641065,3.241943695357834,15.0,0.24863258081668632,4180.56131224779,0.2695803535026166,99.45303232667453,10,374.64877983096403,-1.0209477726859304,0,8,23,-22.23190149494309
358.0502894862633,3.324606835358543,-20.0,0.25694409790508266,4048.6063710313792,0.28861675372192447,102.77763916203307,10,365.95494121641065,-1.0316726558168419,0,8,24,-23.25284926762902
359.42272926625964,5.039037014013069,-20.0,0.26954169044011533,4071.8118469422107,0.312569627924591,107.81667617604614,2,71.61005789725266,-1.0430279374844758,0,8,25,-24.284521923445862
360.4247681254481,6.9093711101154005,-20.0,0.28681511821540384,4088.6745437812087,0.341138474589643,114.72604728616155,4,143.76909170650387,-1.0543233563742391,0,8,26,-25.327549860930336
353.00913747679715,9.066914189832072,-20.0,0.30948240368998403,3962.2497756557605,0.3740164513213165,123.79296147599362,10,360.4247681254481,-1.0645340476313325,0,8,27,-26.381873217304577
354.3586707704492,10.68873820785505,-20.0,0.33620424920962166,3985.5438750189182,0.4108873908070767,134.48169968384866,2,70.60182749535943,-1.074683141597455,0,8,28,-27.44640726493591
355.8964604499479,12.198186426509974,-20.0,0.3666997152758966,4011.929062302846,0.45142877846453444,146.67988611035864,1,35.43586707704492,-1.0847290631886377,0,8,29,-28.521090406533364
350.90250140250146,13.925859534120287,-20.0,0.40151436411119734,3925.622247897893,0.495317012695066,160.60574564447893,9,320.3068144049531,-1.0938026485838686,0,8,30,-29.605819469722
