episode,epsilon,total_reward,steps,exit_reason
0,0.8429431933839266,-587.3905071746105,81,terminated
1,0.392711028357805,-315.06710264132806,76,terminated
2,0.18667127671570335,-213.75529591215684,74,terminated
3,0.09144844271229946,-108.54728021341023,71,terminated
4,0.0434691066002209,-213.17560287361542,74,terminated
5,0.021082141574634772,-110.15799046996266,72,terminated
6,0.01,-114.65374727132097,75,terminated
7,0.01,-112.75019576447652,74,terminated
8,0.01,-112.7735684691262,74,terminated
9,0.01,-112.75977803052592,74,terminated
10,0.01,-112.75019576447652,74,terminated
