episode,step,action,reward,total_reward
0,1,7,-1,-1
0,2,3,-1,-2
0,3,9,-1,-3
0,4,3,-1,-4
0,5,0,-1,-5
0,6,3,-1,-6
0,7,0,-101,-107
0,8,3,-1,-108
0,9,6,-1,-109
0,10,2,-1,-110
0,11,2,-1,-111
0,12,5,-1,-112
0,13,9,-1,-113
0,14,9,-1,-114
0,15,10,-1,-115
0,16,4,-1,-116
0,17,1,-1,-117
0,18,3,-1,-118
0,19,5,-1,-119
0,20,10,-1,-120
0,21,4,-1,-121
0,22,1,-1,-122
0,23,5,-1,-123
0,24,3,-1,-124
0,25,3,-1,-125
0,26,10,-1,-126
0,27,8,-1,-127
0,28,1,-1,-128
0,29,3,-1,-129
0,30,2,-1,-130
0,31,1,-101,-231
0,32,6,-1,-232
0,33,1,-1,-233
0,34,5,-1,-234
0,35,7,-1,-235
0,36,6,-1,-236
0,37,10,-1,-237
0,38,3,-1,-238
0,39,2,-1,-239
0,40,3,-1,-240
0,41,8,-1,-241
0,42,4,-1,-242
0,43,2,-1,-243
0,44,5,-1,-244
0,45,10,-1,-245
0,46,4,-1,-246
0,47,3,-1,-247
0,48,10,-1,-248
0,49,6,-1,-249
0,50,7,-1,-250
0,51,5,-1,-251
0,52,5,-1,-252
0,53,6,-1,-253
0,54,4,-1,-254
0,55,0,-101,-355
0,56,1,-1,-356
0,57,9,-1,-357
0,58,4,-1,-358
0,59,8,-1,-359
0,60,7,-1,-360
0,61,3,-101,-461
0,62,10,-1,-462
0,63,5,-1,-463
0,64,1,-101,-564
0,65,10,-1,-565
0,66,8,-1,-566
0,67,5,-1,-567
0,68,10,-1,-568
0,69,6,-1,-569
0,70,1,-1,-570
0,71,0,-1,-571
0,72,1,-1,-572
0,73,9,-1,-573
0,74,2,-1,-574
0,75,1,-1,-575
0,76,2,-1,-576
0,77,6,-1,-577
0,78,7,-1,-578
0,79,6,-1,-579
0,80,5,-1,-580
0,81,5,-1,-581
0,82,6,-1,-582
1,1,6,-1,-1
1,2,7,-1,-2
1,3,1,-1,-3
1,4,4,-1,-4
1,5,4,-1,-5
1,6,10,-1,-6
1,7,0,-1,-7
1,8,5,-1,-8
1,9,7,-1,-9
1,10,7,-1,-10
1,11,2,-1,-11
1,12,6,-1,-12
1,13,0,-1,-13
1,14,7,-1,-14
1,15,7,-1,-15
1,16,6,-1,-16
1,17,5,-1,-17
1,18,0,-1,-18
1,19,4,-1,-19
1,20,5,-1,-20
1,21,5,-1,-21
1,22,0,-101,-122
1,23,5,-1,-123
1,24,10,-1,-124
1,25,7,-1,-125
1,26,0,-1,-126
1,27,4,-1,-127
1,28,9,-1,-128
1,29,3,-1,-129
1,30,3,-1,-130
1,31,9,-1,-131
1,32,10,-1,-132
1,33,0,-1,-133
1,34,3,-1,-134
1,35,3,-1,-135
1,36,6,-1,-136
1,37,8,-1,-137
1,38,8,-1,-138
1,39,0,-1,-139
1,40,3,-1,-140
1,41,7,-1,-141
1,42,1,-1,-142
1,43,4,-1,-143
1,44,3,-1,-144
1,45,9,-1,-145
1,46,6,-1,-146
1,47,10,-1,-147
1,48,2,-1,-148
1,49,1,-1,-149
1,50,0,-1,-150
1,51,8,-1,-151
1,52,3,-1,-152
1,53,1,-101,-253
1,54,9,-1,-254
1,55,9,-1,-255
1,56,10,-1,-256
1,57,5,-1,-257
1,58,3,-101,-358
1,59,10,-1,-359
1,60,1,-1,-360
1,61,3,-1,-361
1,62,1,-101,-462
1,63,7,-1,-463
1,64,1,-1,-464
1,65,2,-101,-565
1,66,1,-1,-566
1,67,0,-101,-667
1,68,2,-1,-668
1,69,0,-101,-769
1,70,1,-1,-770
1,71,1,-101,-871
1,72,2,-1,-872
1,73,7,-1,-873
1,74,7,-1,-874
1,75,1,-101,-975
1,76,9,-1,-976
1,77,1,-1,-977
1,78,4,-1,-978
1,79,4,-1,-979
1,80,5,-1,-980
1,81,2,-1,-981
1,82,3,-1,-982
1,83,8,-1,-983
1,84,7,-1,-984
1,85,1,-1,-985
1,86,0,-1,-986
1,87,0,-1,-987
1,88,3,-1,-988
1,89,1,-1,-989
1,90,9,-1,-990
1,91,10,-1,-991
1,92,9,-1,-992
2,1,8,-1,-1
2,2,0,-1,-2
2,3,8,-1,-3
2,4,6,-1,-4
2,5,9,-1,-5
2,6,8,-1,-6
2,7,10,-1,-7
2,8,0,-1,-8
2,9,4,-1,-9
2,10,0,-101,-110
2,11,8,-1,-111
2,12,5,-1,-112
2,13,0,-1,-113
2,14,8,-1,-114
2,15,4,-1,-115
2,16,5,-1,-116
2,17,4,-1,-117
2,18,6,-1,-118
2,19,10,-1,-119
2,20,5,-1,-120
2,21,6,-1,-121
2,22,2,-1,-122
2,23,1,-101,-223
2,24,3,-1,-224
2,25,9,-1,-225
2,26,1,-1,-226
2,27,4,-1,-227
2,28,4,-1,-228
2,29,0,-101,-329
2,30,9,-1,-330
2,31,5,-1,-331
2,32,4,-1,-332
2,33,0,-101,-433
2,34,6,-1,-434
2,35,6,-1,-435
2,36,10,-1,-436
2,37,5,-1,-437
2,38,3,-1,-438
2,39,9,-1,-439
2,40,9,-1,-440
2,41,3,-1,-441
2,42,1,-1,-442
2,43,6,-1,-443
2,44,2,-1,-444
2,45,6,-1,-445
2,46,5,-1,-446
2,47,1,-1,-447
2,48,1,-1,-448
2,49,5,-1,-449
2,50,0,-1,-450
2,51,5,-1,-451
2,52,4,-1,-452
2,53,1,-101,-553
2,54,1,-1,-554
2,55,5,-1,-555
2,56,5,-1,-556
2,57,0,-101,-657
2,58,7,-1,-658
2,59,8,-1,-659
2,60,3,-1,-660
2,61,1,-101,-761
2,62,1,-1,-762
2,63,5,-1,-763
2,64,10,-1,-764
2,65,5,-1,-765
2,66,5,-1,-766
2,67,5,-1,-767
2,68,5,-1,-768
2,69,4,-1,-769
2,70,1,-1,-770
2,71,1,-1,-771
2,72,6,-1,-772
2,73,8,-1,-773
2,74,5,-1,-774
2,75,5,-1,-775
2,76,6,-1,-776
2,77,6,-1,-777
2,78,8,-1,-778
2,79,0,-1,-779
2,80,9,-1,-780
2,81,5,-1,-781
2,82,3,-1,-782
2,83,5,-1,-783
2,84,5,-1,-784
3,1,4,-1,-1
3,2,8,-1,-2
3,3,4,-1,-3
3,4,10,-1,-4
3,5,6,-1,-5
3,6,2,-1,-6
3,7,5,-1,-7
3,8,5,-1,-8
3,9,9,-1,-9
3,10,6,-1,-10
3,11,1,-1,-11
3,12,4,-1,-12
3,13,8,-1,-13
3,14,10,-1,-14
3,15,8,-1,-15
3,16,9,-1,-16
3,17,0,-1,-17
3,18,9,-1,-18
3,19,4,-1,-19
3,20,7,-1,-20
3,21,6,-1,-21
3,22,7,-1,-22
3,23,9,-1,-23
3,24,10,-1,-24
3,25,4,-1,-25
3,26,6,-1,-26
3,27,0,-101,-127
3,28,3,-1,-128
3,29,4,-1,-129
3,30,10,-1,-130
3,31,1,-1,-131
3,32,5,-1,-132
3,33,7,-1,-133
3,34,8,-1,-134
3,35,5,-1,-135
3,36,2,-1,-136
3,37,5,-1,-137
3,38,0,-1,-138
3,39,5,-1,-139
3,40,9,-1,-140
3,41,9,-1,-141
3,42,7,-1,-142
3,43,4,-1,-143
3,44,5,-1,-144
3,45,5,-1,-145
3,46,0,-1,-146
3,47,5,-1,-147
3,48,6,-1,-148
3,49,5,-1,-149
3,50,8,-1,-150
3,51,1,-101,-251
3,52,3,-1,-252
3,53,2,-1,-253
3,54,5,-1,-254
3,55,8,-1,-255
3,56,8,-1,-256
3,57,2,-101,-357
3,58,10,-1,-358
3,59,8,-1,-359
3,60,4,-1,-360
3,61,5,-1,-361
3,62,9,-1,-362
3,63,1,-101,-463
3,64,4,-1,-464
3,65,5,-1,-465
3,66,9,-1,-466
3,67,0,-1,-467
3,68,2,-1,-468
3,69,7,-1,-469
3,70,8,-1,-470
3,71,4,-1,-471
3,72,10,-1,-472
3,73,5,-1,-473
3,74,9,-1,-474
3,75,5,-1,-475
3,76,2,-1,-476
3,77,5,-1,-477
3,78,10,-1,-478
3,79,5,-1,-479
3,80,10,-1,-480
3,81,9,-1,-481
4,1,10,-1,-1
4,2,8,-1,-2
4,3,10,-1,-3
4,4,5,-1,-4
4,5,1,-1,-5
4,6,1,-1,-6
4,7,10,-1,-7
4,8,6,-1,-8
4,9,10,-1,-9
4,10,3,-1,-10
4,11,9,-1,-11
4,12,4,-1,-12
4,13,5,-1,-13
4,14,1,-1,-14
4,15,6,-1,-15
4,16,0,-101,-116
4,17,5,-1,-117
4,18,5,-1,-118
4,19,6,-1,-119
4,20,9,-1,-120
4,21,7,-1,-121
4,22,7,-1,-122
4,23,5,-1,-123
4,24,4,-1,-124
4,25,10,-1,-125
4,26,0,-1,-126
4,27,2,-1,-127
4,28,10,-1,-128
4,29,1,-1,-129
4,30,7,-1,-130
4,31,9,-1,-131
4,32,5,-1,-132
4,33,5,-1,-133
4,34,5,-1,-134
4,35,0,-1,-135
4,36,9,-1,-136
4,37,0,-1,-137
4,38,9,-1,-138
4,39,5,-1,-139
4,40,1,-1,-140
4,41,0,-1,-141
4,42,5,-1,-142
4,43,1,-1,-143
4,44,5,-1,-144
4,45,7,-1,-145
4,46,9,-1,-146
4,47,3,-1,-147
4,48,0,-101,-248
4,49,4,-1,-249
4,50,0,-101,-350
4,51,10,-1,-351
4,52,8,-1,-352
4,53,5,-1,-353
4,54,4,-1,-354
4,55,2,-101,-455
4,56,5,-1,-456
4,57,7,-1,-457
4,58,5,-1,-458
4,59,10,-1,-459
4,60,9,-1,-460
4,61,10,-1,-461
4,62,10,-1,-462
4,63,7,-1,-463
4,64,2,-101,-564
4,65,6,-1,-565
4,66,6,-1,-566
4,67,4,-1,-567
4,68,5,-1,-568
4,69,5,-1,-569
4,70,5,-1,-570
4,71,6,-1,-571
4,72,5,-1,-572
4,73,8,-1,-573
4,74,9,-1,-574
4,75,5,-1,-575
4,76,6,-1,-576
4,77,8,-1,-577
4,78,6,-1,-578
4,79,0,-1,-579
4,80,5,-1,-580
4,81,5,-1,-581
4,82,5,-1,-582
4,83,5,-1,-583
4,84,5,-1,-584
4,85,8,-1,-585
4,86,5,-1,-586
5,1,4,-1,-1
5,2,0,-1,-2
5,3,0,-101,-103
5,4,6,-1,-104
5,5,5,-1,-105
5,6,5,-1,-106
5,7,1,-1,-107
5,8,5,-1,-108
5,9,0,-1,-109
5,10,1,-1,-110
5,11,5,-1,-111
5,12,5,-1,-112
5,13,8,-1,-113
5,14,4,-1,-114
5,15,5,-1,-115
5,16,5,-1,-116
5,17,7,-1,-117
5,18,5,-1,-118
5,19,7,-1,-119
5,20,5,-1,-120
5,21,0,-1,-121
5,22,9,-1,-122
5,23,5,-1,-123
5,24,3,-1,-124
5,25,7,-1,-125
5,26,6,-1,-126
5,27,10,-1,-127
5,28,3,-1,-128
5,29,3,-1,-129
5,30,1,-101,-230
5,31,5,-1,-231
5,32,10,-1,-232
5,33,10,-1,-233
5,34,0,-1,-234
5,35,4,-1,-235
5,36,5,-1,-236
5,37,5,-1,-237
5,38,2,-1,-238
5,39,5,-1,-239
5,40,7,-1,-240
5,41,5,-1,-241
5,42,10,-1,-242
5,43,5,-1,-243
5,44,5,-1,-244
5,45,5,-1,-245
5,46,10,-1,-246
5,47,0,-1,-247
5,48,5,-1,-248
5,49,5,-1,-249
5,50,5,-1,-250
5,51,4,-1,-251
5,52,0,-101,-352
5,53,5,-1,-353
5,54,1,-1,-354
5,55,5,-1,-355
5,56,7,-1,-356
5,57,3,-101,-457
5,58,10,-1,-458
5,59,5,-1,-459
5,60,5,-1,-460
5,61,5,-1,-461
5,62,5,-1,-462
5,63,6,-1,-463
5,64,3,-101,-564
5,65,5,-1,-565
5,66,1,-101,-666
5,67,5,-1,-667
5,68,5,-1,-668
5,69,5,-1,-669
5,70,5,-1,-670
5,71,5,-1,-671
5,72,8,-1,-672
5,73,5,-1,-673
5,74,5,-1,-674
5,75,5,-1,-675
5,76,3,-1,-676
5,77,5,-1,-677
5,78,5,-1,-678
5,79,10,-1,-679
5,80,3,-1,-680
5,81,0,-1,-681
5,82,3,-1,-682
5,83,3,-1,-683
5,84,5,-1,-684
5,85,5,-1,-685
5,86,7,-1,-686
5,87,7,-1,-687
5,88,5,-1,-688
5,89,1,-1,-689
5,90,5,-1,-690
5,91,6,-1,-691
5,92,5,-1,-692
6,1,5,-1,-1
6,2,6,-1,-2
6,3,5,-1,-3
6,4,10,-1,-4
6,5,9,-1,-5
6,6,5,-1,-6
6,7,6,-1,-7
6,8,6,-1,-8
6,9,5,-1,-9
6,10,5,-1,-10
6,11,5,-1,-11
6,12,9,-1,-12
6,13,4,-1,-13
6,14,5,-1,-14
6,15,5,-1,-15
6,16,1,-1,-16
6,17,2,-1,-17
6,18,5,-1,-18
6,19,0,-101,-119
6,20,5,-1,-120
6,21,2,-1,-121
6,22,5,-1,-122
6,23,5,-1,-123
6,24,10,-1,-124
6,25,4,-1,-125
6,26,9,-1,-126
6,27,5,-1,-127
6,28,5,-1,-128
6,29,7,-1,-129
6,30,8,-1,-130
6,31,6,-1,-131
6,32,5,-1,-132
6,33,6,-1,-133
6,34,10,-1,-134
6,35,5,-1,-135
6,36,6,-1,-136
6,37,4,-1,-137
6,38,5,-1,-138
6,39,5,-1,-139
6,40,7,-1,-140
6,41,2,-1,-141
6,42,5,-1,-142
6,43,5,-1,-143
6,44,0,-1,-144
6,45,1,-1,-145
6,46,5,-1,-146
6,47,8,-1,-147
6,48,8,-1,-148
6,49,10,-1,-149
6,50,5,-1,-150
6,51,6,-1,-151
6,52,3,-101,-252
6,53,5,-1,-253
6,54,5,-1,-254
6,55,4,-1,-255
6,56,3,-1,-256
6,57,5,-1,-257
6,58,8,-1,-258
6,59,5,-1,-259
6,60,2,-101,-360
6,61,5,-1,-361
6,62,5,-1,-362
6,63,5,-1,-363
6,64,5,-1,-364
6,65,4,-1,-365
6,66,5,-1,-366
6,67,5,-1,-367
6,68,4,-1,-368
6,69,3,-1,-369
6,70,2,-1,-370
6,71,5,-1,-371
6,72,5,-1,-372
6,73,5,-1,-373
6,74,5,-1,-374
6,75,8,-1,-375
6,76,5,-1,-376
6,77,5,-1,-377
6,78,5,-1,-378
6,79,8,-1,-379
6,80,6,-1,-380
