episode,step,action,reward,total_reward
0,1,3,-1.0044510268334699,-1.0044510268334699
0,2,3,-1.0105645519395883,-2.015015578773058
0,3,5,-1.0152048085136465,-3.0302203872867044
0,4,5,-1.0192362273640851,-4.04945661465079
0,5,2,-1.0256497005573864,-5.075106315208176
0,6,9,-1.0270295908140137,-6.102135906022189
0,7,6,-1.0282245813388609,-7.130360487361051
0,8,10,-1.027020707412052,-8.157381194773103
0,9,7,-1.0260226714378557,-9.18340386621096
0,10,4,-1.0267939612718342,-10.210197827482794
0,11,2,-1.030360583689763,-11.240558411172557
0,12,8,-1.0310700391845473,-12.271628450357104
0,13,5,-1.032354831946511,-13.303983282303616
0,14,10,-1.0309851797432343,-14.33496846204685
0,15,0,-1.034356648476739,-15.36932511052359
0,16,10,-1.0336128960352946,-16.402938006558884
0,17,7,-1.0329365525690868,-17.43587455912797
0,18,5,-1.0334419547578586,-18.46931651388583
0,19,6,-1.0340020249659032,-19.503318538851733
0,20,5,-1.0352156232233547,-20.538534162075088
0,21,0,-101.04534925279525,-121.58388341487034
0,22,3,-1.0462137148136732,-122.63009712968402
0,23,9,-1.0449420279084474,-123.67503915759247
0,24,9,-1.0428672923841353,-124.7179064499766
0,25,7,-1.0413948160856483,-125.75930126606224
0,26,3,-1.0492484597761187,-126.80854972583836
0,27,2,-1.066074966885196,-127.87462469272356
0,28,10,-1.082453971536719,-128.95707866426028
0,29,8,-1.1036388668047148,-130.060717531065
0,30,4,-1.131527489315829,-131.19224502038082
0,31,2,-1.166968045013933,-132.35921306539475
0,32,0,-101.2126432377141,-233.57185630310886
0,33,7,-1.2481263799876738,-234.81998268309653
0,34,5,-1.271160224817295,-236.09114290791382
0,35,1,-1.283614782292882,-237.3747576902067
0,36,1,-1.2861821871583574,-238.66093987736505
0,37,4,-1.2790631711765608,-239.94000304854163
0,38,8,-1.2624690291553504,-241.20247207769697
0,39,1,-1.2380532877622212,-242.4405253654592
0,40,4,-1.2064267447746875,-243.64695211023388
0,41,2,-1.1692608263418154,-244.8162129365757
0,42,7,-1.1280598941410225,-245.94427283071673
0,43,3,-1.0944114200050916,-247.03868425072181
0,44,0,-1.0679338994016925,-248.1066181501235
0,45,0,-1.048133184071708,-249.1547513341952
0,46,9,-1.032817559468087,-250.1875688936633
0,47,6,-1.022227398708945,-251.20979629237223
0,48,1,-1.0177999967302203,-252.22759628910245
0,49,7,-1.0156027713683047,-253.24319906047074
0,50,6,-1.0151536578178963,-254.25835271828865
0,51,7,-1.0142437181690243,-255.27259643645766
0,52,5,-1.0150435679518428,-256.2876400044095
0,53,9,-1.0127674458668963,-257.3004074502764
0,54,0,-101.02187558009206,-358.32228303036845
0,55,2,-1.017255738134733,-359.3395387685032
0,56,2,-1.0191861376404368,-360.3587249061436
0,57,5,-1.0192654910933077,-361.37799039723694
0,58,0,-101.02860637232227,-462.4065967695592
0,59,10,-1.0208575701324676,-463.4274543396917
0,60,0,-1.0203327724341116,-464.4477871121258
0,61,0,-101.02969269353623,-565.477479805662
0,62,9,-1.0257259171859099,-566.503205722848
0,63,4,-1.0288686985899629,-567.5320744214379
0,64,2,-101.0432633868617,-668.5753378082995
0,65,1,-1.0504386475484093,-669.6257764558479
0,66,1,-101.06903526647936,-770.6948117223272
0,67,1,-1.0768346329174077,-771.7716463552447
0,68,0,-101.09755602383028,-872.869202379075
0,69,0,-1.1075771771005498,-873.9767795561755
0,70,4,-1.1167362462773704,-875.0935158024529
0,71,3,-1.125614808649547,-876.2191306111024
0,72,3,-1.134262373926075,-877.3533929850284
0,73,3,-1.1427109522306453,-878.4961039372591
0,74,9,-1.1492789361457352,-879.6453828734049
0,75,5,-1.1553623307093033,-880.8007452041142
0,76,5,-1.161018926091363,-881.9617641302056
0,77,3,-1.1462894656782607,-883.1080535958838
0,78,7,-1.1289451683279297,-884.2369987642118
0,79,0,-1.112046007756756,-885.3490447719685
0,80,7,-1.094079987802775,-886.4431247597712
0,81,2,-1.0761717000078594,-887.5192964597791
0,82,6,-1.0575146185083257,-888.5768110782874
0,83,5,-1.0383762308854598,-889.6151873091728
0,84,2,-1.0193665499604596,-890.6345538591332
0,85,0,-1.0008689228647079,-891.6354227819979
0,86,2,-1.0,-892.6354227819979
1,1,1,-1.9959402380699638,-1.9959402380699638
1,2,4,-1.9887424741042619,-3.9846827121742256
1,3,7,-1.9782523532360843,-5.96293506541031
1,4,8,-1.9659894238038347,-7.928924489214145
1,5,9,-1.9525023124387817,-9.881426801652927
1,6,9,-1.9385912102047054,-11.820018011857632
1,7,1,-1.9288157860984456,-13.748833797956078
1,8,10,-1.9168533047370384,-15.665687102693116
1,9,7,-1.9054756069304566,-17.57116270962357
1,10,3,-1.8968786634292836,-19.468041373052856
1,11,9,-1.886521319697102,-21.35456269274996
1,12,6,-1.8770435655681201,-23.231606258318077
1,13,1,-1.8718360429651961,-25.103442301283273
1,14,10,-1.8623197514571443,-26.965762052740416
1,15,4,-1.8548300878664428,-28.82059214060686
1,16,10,-1.845024047669642,-30.665616188276502
1,17,8,-1.8353160900578378,-32.50093227833434
1,18,0,-1.8309079968121096,-34.33184027514645
1,19,2,-1.8288750310006443,-36.16071530614709
1,20,8,-1.8210683394806981,-37.981783645627786
1,21,5,-1.8143529052977176,-39.7961365509255
1,22,10,-1.8053310011491301,-41.60146755207463
1,23,6,-1.7974406030149244,-43.39890815508956
1,24,0,-1.7960263708937005,-45.19493452598326
1,25,5,-1.790278174762244,-46.9852127007455
1,26,10,-1.7817369943569659,-48.76694969510247
1,27,9,-1.7728120613533942,-50.53976175645586
1,28,4,-1.766309100841592,-52.30607085729745
1,29,5,-1.760659679686749,-54.066730536984196
1,30,8,-1.7534716377496666,-55.820202174733865
1,31,5,-1.7475352040523155,-57.56773737878618
1,32,1,-1.7376242203560555,-59.30536159914223
1,33,4,-1.722790111261438,-61.02815171040367
1,34,5,-1.7030176301955786,-62.73116934059925
1,35,4,-1.6787097585325341,-64.40987909913179
1,36,6,-1.6498204128262974,-66.05969951195809
1,37,4,-1.6168883306148254,-67.67658784257291
1,38,4,-1.5801826877894873,-69.2567705303624
1,39,8,-1.5396015058215764,-70.79637203618398
1,40,6,-1.4956856393602114,-72.2920576755442
1,41,2,-1.4592507398115324,-73.75130841535574
1,42,3,-1.4294747848100007,-75.18078320016573
1,43,9,-1.404880784497959,-76.5856639846637
1,44,9,-1.3849458703707682,-77.97060985503447
1,45,8,-1.3693881364738394,-79.33999799150831
1,46,2,-1.359641344175601,-80.69963933568391
1,47,5,-1.3539035642862207,-82.05354289997014
1,48,3,-101.35545242558952,-183.40899532555966
1,49,3,-1.3491831563909298,-184.75817848195058
1,50,9,-1.3426869776251131,-186.1008654595757
1,51,10,-1.335726825225381,-187.43659228480107
1,52,1,-101.33945845136967,-288.77605073617076
1,53,8,-1.3291571926702261,-290.10520792884097
1,54,7,-1.322076921079303,-291.4272848499203
1,55,4,-1.3194662060923408,-292.7467510560126
1,56,3,-1.3182407827296996,-294.0649918387423
1,57,4,-1.3141470008938079,-295.3791388396361
1,58,8,-1.308569711367443,-296.68770855100354
1,59,6,-1.304517733146589,-297.99222628415015
1,60,5,-1.301313379513692,-299.29353966366386
1,61,6,-1.2969088031224687,-300.5904484667863
1,62,5,-1.2937680310690218,-301.88421649785533
1,63,5,-1.2901676971116622,-303.174384194967
1,64,5,-1.286765483098976,-304.46114967806596
1,65,5,-1.283268733216088,-305.744418411282
