episode,epsilon,total_reward,steps,exit_reason
0,0.5,-62.0,62,terminated
1,0.5,-62.0,62,terminated
2,0.5,-62.0,62,terminated
3,0.5,-62.0,62,terminated
4,0.5,-62.0,62,terminated
5,0.5,-62.0,62,terminated
6,0.5,-62.0,62,terminated
7,0.5,-62.0,62,terminated
8,0.5,-62.0,62,terminated
9,0.5,-62.0,62,terminated
10,0.5,-62.0,62,terminated
11,0.5,-62.0,62,terminated
12,0.5,-62.0,62,terminated
13,0.5,-62.0,62,terminated
14,0.5,-62.0,62,terminated
15,0.5,-62.0,62,terminated
16,0.5,-62.0,62,terminated
17,0.5,-62.0,62,terminated
18,0.5,-62.0,62,terminated
19,0.5,-62.0,62,terminated
20,0.5,-62.0,62,terminated
21,0.5,-62.0,62,terminated
22,0.5,-62.0,62,terminated
23,0.5,-62.0,62,terminated
24,0.5,-62.0,62,terminated
25,0.5,-62.0,62,terminated
26,0.5,-62.0,62,terminated
27,0.5,-62.0,62,terminated
28,0.5,-62.0,62,terminated
29,0.5,-62.0,62,terminated
30,0.5,-62.0,62,terminated
31,0.5,-62.0,62,terminated
32,0.5,-62.0,62,terminated
33,0.49676037819381114,-90.32393818483112,83,terminated
34,0.4922109148592501,-108.28458391657533,92,terminated
35,0.4879958410318867,-98.9840457977624,86,terminated
36,0.4832366021858303,-115.96963659144983,98,terminated
37,0.4789067697447039,-108.15611668566008,90,terminated
38,0.4752331654624374,-87.16241944706908,77,terminated
39,0.4714934278794455,-89.26571182357563,79,terminated
40,0.46787668995644266,-87.09547966175222,77,terminated
41,0.46322100748048417,-121.1917939005414,100,terminated
42,0.45930012024816924,-100.7894779712949,85,terminated
43,0.4550482185213317,-111.84816393820573,93,terminated
44,0.4515124729614329,-89.28921774431942,78,terminated
45,0.4479593998869134,-90.14189211846583,79,terminated
46,0.44443428689994136,-88.9096551740049,79,terminated
47,0.4409810120762763,-87.32203165037375,78,terminated
48,0.4369423909749455,-109.76813726030035,92,terminated
49,0.4328974625614473,-113.77210313165017,93,terminated
50,0.4293191054272114,-95.59944185066841,83,terminated
51,0.42611109680401815,-83.5589067358712,75,terminated
52,0.4222931127313704,-101.88370733961901,90,terminated
53,0.418593052477242,-105.85339264257713,88,terminated
54,0.4152575012723808,-94.19208038381036,80,terminated
55,0.411289905807926,-108.50986773034579,96,terminated
56,0.40813497784557035,-84.26202922418176,77,terminated
57,0.4053283999964299,-72.87450624786774,69,terminated
58,0.40254112183893775,-74.13192982500098,69,terminated
59,0.39957316412495775,-81.52275984323984,74,terminated
60,0.39678577983195024,-75.60431097372438,70,terminated
61,0.3941360690630204,-68.96305157737577,67,terminated
62,0.3913474747653869,-76.03342745569356,71,terminated
63,0.38853975248877465,-77.16947309961645,72,terminated
64,0.3859451081777741,-70.28251499779395,67,terminated
65,0.38325279190359773,-74.83259816498281,70,terminated
66,0.38057925697103345,-74.51655750772105,70,terminated
67,0.3776599046534707,-83.11716111459877,77,terminated
68,0.37502538516907263,-76.11822937000981,70,terminated
69,0.3720742095579853,-88.98464533468692,79,terminated
70,0.3691093429156835,-88.5449554065493,80,terminated
71,0.3663146056246988,-81.16148083485446,76,terminated
72,0.3637592298645335,-73.73777201975868,70,terminated
73,0.3613662049634706,-69.27926187416035,66,terminated
74,0.3589171286110312,-70.0660014241567,68,terminated
75,0.356591617098105,-67.46616875000487,65,terminated
76,0.3539978473811731,-77.34246508023567,73,terminated
77,0.351563548506943,-72.82206929283592,69,terminated
78,0.3493555502474284,-64.40658605979465,63,terminated
79,0.34688378739257836,-75.02258117156039,71,terminated
80,0.344291761631009,-80.9189424137972,75,terminated
81,0.34202680533252383,-68.2191273843657,66,terminated
82,0.3393013708900023,-88.4385088995317,80,terminated
83,0.3368333666562239,-77.40967723982278,73,terminated
84,0.3346174761227593,-68.1213006152926,66,terminated
85,0.3320506880319142,-82.5387732618384,77,terminated
86,0.3293388704449804,-92.45231279805427,82,terminated
87,0.3270087297443455,-75.30000942300661,71,terminated
88,0.3248899605209577,-66.86453082688502,65,terminated
89,0.3227849193195266,-67.05155977032324,65,terminated
90,0.3202768656697511,-84.6694552727762,78,terminated
91,0.3182017138336679,-66.38992335510427,65,terminated
92,0.31614000741186327,-67.75844737234183,65,terminated
