power_max_w,velocity,gradient,percent_complete,AWC,position,action,power_agent_w,reward,episode,step,total_reward
922.973348,2.2965481525852787,15.0,0.00022965481525852788,9758.0,2.2965481525852787,2,184.5946696,-976.8000000000001,0,1,-976.8000000000001
922.973348,-1.297247865683494,15.0,9.993002869017846e-05,9758.0,0.9993002869017846,0,0.0,-1076.8000000000002,0,2,-2053.6000000000004
830.5894722024044,5.653141691279564,15.0,0.0006652441978181349,9069.026652,6.652441978181349,10,922.973348,-907.9026652000001,0,3,-2961.5026652000006
776.2411130652586,5.744461248561437,15.0,0.0012396903226742787,8638.555074238076,12.396903226742786,8,664.4715777619235,-864.8555074238077,0,4,-3826.358172623808
748.056892398678,5.29522667707953,15.0,0.0017692129903822316,8406.810406398921,17.692129903822316,6,465.7446678391551,-841.6810406398922,0,5,-4668.039213263701
740.2602431866762,4.460190215453705,15.0,0.002215232011927602,8341.58764943945,22.15232011927602,4,299.2227569594712,-835.1587649439451,0,6,-5503.197978207646
741.4493020178668,3.5175365217436574,15.0,0.002566985664101968,8351.566986826618,25.669856641019678,3,222.07807295600287,-836.1566986826618,0,7,-6339.354676890308
708.037952563719,4.0510172216223275,15.0,0.0029720873862642003,8066.552475414111,29.720873862642005,7,519.0145114125067,-807.6552475414111,0,8,-7147.009924431719
654.9867208604146,4.911583262559563,15.0,0.003463245712520157,7592.514522850392,34.63245712520157,10,708.037952563719,-760.2514522850392,0,9,-7907.261376716759
617.2670261957151,5.058143212500421,15.0,0.003969060033770198,7237.0264740760185,39.69060033770199,9,589.4880487743732,-724.702647407602,0,10,-8631.964024124361
578.5817767159845,5.22882059841169,15.0,0.004491942093611367,6853.759447880304,44.919420936113674,10,617.2670261957151,-686.3759447880304,0,11,-9318.339968912393
579.9825891653948,3.979157709289149,15.0,0.004889857864540282,6868.002246428304,48.89857864540282,3,173.57453301479532,-687.8002246428305,0,12,-10006.140193555224
582.3891792008374,2.28222212215488,15.0,0.00511808007675577,6892.40419946954,51.1808007675577,1,57.99825891653948,-690.240419946954,0,13,-10696.380613502179
585.3096838852183,-1.3054642012557256,15.0,0.004987533656630198,6921.90419946954,49.875336566301975,0,0.0,-793.1904199469541,0,14,-11489.571033449132
562.4548516141053,4.360288638563349,15.0,0.005423562520486532,6687.656452361365,54.23562520486532,8,468.2477471081747,-669.7656452361366,0,15,-12159.33667868527
531.7022786743441,4.642020499868705,15.0,0.005887764570473403,6359.201600747259,58.87764570473403,10,562.4548516141053,-636.920160074726,0,16,-12796.256838759995
534.4025706854528,2.660088980685615,15.0,0.006153773468541964,6388.701600747259,61.53773468541964,0,0.0,-639.870160074726,0,17,-13436.126998834721
536.2498881651906,1.4302145129824402,15.0,0.006296794919840208,6408.806803554609,62.96794919840208,2,106.88051413709057,-641.880680355461,0,18,-14078.007679190183
523.3800100826711,2.9091230819523988,15.0,0.006587707228035448,6267.431881838976,65.87707228035448,7,375.3749217156334,-627.7431881838976,0,19,-14705.750867374081
524.7952888584732,2.0214052399663744,15.0,0.006789847752032085,6283.130350973096,67.89847752032085,3,157.01400302480133,-629.3130350973097,0,20,-15335.063902471391
499.13892711940144,3.601357856272055,15.0,0.007149983537659292,5992.335062114623,71.49983537659291,10,524.7952888584732,-600.2335062114623,0,21,-15935.297408682853
501.6877032500548,1.3819014797839968,15.0,0.00728817368563769,6021.835062114623,72.8817368563769,0,0.0,-603.1835062114623,0,22,-16538.480914894313
504.24866288070814,-1.500444705228445,15.0,0.007138129215114846,6051.335062114623,71.38129215114846,0,0.0,-706.1335062114623,0,23,-17244.614421105776
493.99477937791636,4.105729807568247,15.0,0.007548702195871671,5932.360998098127,75.48702195871671,7,352.9740640164957,-594.2360998098128,0,24,-17838.85052091559
492.88659499925285,3.349379473266486,15.0,0.007883640143198319,5919.3636084091695,78.83640143198319,5,246.99738968895818,-592.936360840917,0,25,-18431.786881756507
494.29404412207145,2.2778617539989785,15.0,0.008111426318598217,5935.866188899039,81.11426318598217,3,147.86597849977585,-594.5866188899039,0,26,-19026.373500646412
472.5386501269646,3.5230696602644054,15.0,0.008463733284624658,5675.572144776967,84.63733284624658,10,494.29404412207145,-568.5572144776968,0,27,-19594.93071512411
453.4345095913171,3.886398780379077,15.0,0.008852373162662566,5437.0334946500025,88.52373162662566,10,472.5386501269646,-544.7033494650003,0,28,-20139.634064589107
455.1259954841604,2.390524052416024,15.0,0.009091425567904168,5458.562115971387,90.91425567904169,2,90.68690191826343,-546.8562115971388,0,29,-20686.490276186247
438.06126289041066,3.3868599450359427,15.0,0.009430111562407762,5237.436120487227,94.30111562407762,10,455.1259954841604,-524.7436120487226,0,30,-21211.23388823497
422.920799372087,3.689584469040037,15.0,0.009799070009311767,5033.374857596816,97.99070009311767,10,438.06126289041066,-504.3374857596816,0,31,-21715.57137399465
418.43293421070325,3.275284155144921,15.0,0.010126598424826258,4971.330298036355,101.26598424826258,7,296.04455956046087,-498.1330298036355,0,32,-22213.704403798285
420.5600353737923,0.8418030842008423,15.0,0.010210778733246342,5000.830298036355,102.10778733246343,0,0.0,-501.08302980363555,0,33,-22714.78743360192
422.69932003688126,-1.3492951433850378,15.0,0.01007584921890784,5030.330298036355,100.7584921890784,0,0.0,-604.0330298036356,0,34,-23318.820463405555
424.30768510587984,2.8806555158449725,15.0,0.010363914770492337,5052.399243990107,103.63914770492337,2,84.53986400737625,-506.2399243990107,0,35,-23825.060387804566
422.8072831566694,2.607354518760058,15.0,0.010624650222368344,5031.814632926579,106.24650222368344,6,254.5846110635279,-504.18146329265795,0,36,-24329.241851097224
421.378048020224,2.475142597728142,15.0,0.010872164482141157,5012.130263032577,108.72164482141157,6,253.68436989400163,-502.2130263032577,0,37,-24831.45487740048
422.17464218301376,2.15326753790092,15.0,0.011087491235931248,5023.110697822089,110.87491235931249,5,210.689024010112,-503.3110697822089,0,38,-25334.76594718269
417.7331729427859,2.5621405891321527,15.0,0.011343705294844464,4961.588448293979,113.43705294844465,7,295.5222495281096,-497.15884482939794,0,39,-25831.924792012087
413.56519418536857,2.672027118160616,15.0,0.011610908006660526,4903.175227234029,116.10908006660526,7,292.4132210599501,-491.31752272340293,0,40,-26323.24231473549
414.62802206146887,1.9351214131809722,15.0,0.011804420147978622,4918.134275006471,118.04420147978622,4,165.42607767414745,-492.81342750064715,0,41,-26816.055742236138
407.74293631189755,2.715854610725848,15.0,0.012076005609051206,4820.431857357296,120.76005609051207,8,331.7024176491751,-483.04318573572965,0,42,-27299.098927971867
404.17304211369174,2.6967644854393185,15.0,0.012345682057595139,4769.011801938968,123.45682057595138,7,285.4200554183283,-477.90118019389683,0,43,-27777.000108165765
398.05864858139853,2.883080640324411,15.0,0.012633990121627579,4679.673368248015,126.33990121627579,8,323.3384336909534,-468.9673368248016,0,44,-28245.967444990565
399.58818448924217,1.343668530714878,15.0,0.012768356974699068,4702.175497205954,127.68356974699067,2,79.61172971627971,-471.21754972059546,0,45,-28717.184994711162
401.12296879624716,0.209050009015085,15.0,0.012789261975600576,4724.650736922634,127.89261975600576,2,79.91763689784844,-473.4650736922634,0,46,-29190.650068403425
402.42062008052545,1.6895427081772103,15.0,0.012958216246418297,4743.573124235477,129.58216246418297,3,120.33689063887414,-475.3573124235477,0,47,-29666.007380826974
403.4770297143963,1.5354703489139834,15.0,0.013111763281309695,4758.924015233446,131.11763281309695,4,160.9682480322102,-476.89240152334463,0,48,-30142.89978235032
394.6935197865514,2.8470454092480817,15.0,0.013396467822234501,4629.7946884904895,133.96467822234501,9,363.12932674295666,-463.979468849049,0,49,-30606.879251199367
396.6795667428979,-0.7501427707499603,15.0,0.013321453545159505,4659.2946884904895,133.21453545159505,0,0.0,-566.929468849049,0,50,-31173.808720048415
388.4785002534072,3.6078088302081457,15.0,0.013682234428180319,4536.283078421881,136.8223442818032,9,357.01161006860815,-454.6283078421882,0,51,-31628.437027890603
385.99215187512766,3.1152857713099364,15.0,0.013993763005311313,4498.348128244496,139.93763005311314,7,271.934950177385,-450.83481282444967,0,52,-32079.271840715053
381.14901026150636,3.002589612559973,15.0,0.014294021966567311,4423.554406744394,142.9402196656731,8,308.79372150010215,-443.3554406744395,0,53,-32522.627281389494
379.0495302865765,2.7352746806875565,15.0,0.014567549434636066,4390.75009956134,145.67549434636067,7,266.80430718305445,-440.075009956134,0,54,-32962.70229134563
369.9469245769123,3.1611556003232333,15.0,0.01488366499466839,4245.700569274763,148.8366499466839,10,379.0495302865765,-425.57005692747634,0,55,-33388.27234827311
370.7656382805483,2.370806536670703,15.0,0.01512074564833546,4258.941401939608,151.2074564833546,5,184.97346228845615,-426.8941401939608,0,56,-33815.16648846707
372.3954351833962,-0.7115789972079768,15.0,0.015049587748614665,4285.182371979122,150.49587748614664,1,37.07656382805483,-529.5182371979122,0,57,-34344.68472566498
373.0103118513885,3.004571772105282,15.0,0.015350044925825193,4295.04223672755,153.50044925825193,6,223.43726111003772,-430.50422367275496,0,58,-34775.18894933773
364.4670829513441,3.2437405777512938,15.0,0.01567441898360032,4156.031924876161,156.74418983600322,10,373.0103118513885,-416.60319248761607,0,59,-35191.792141825346
356.6950052122153,3.3191045116928266,15.0,0.016006329434769602,4025.5648419248164,160.06329434769603,10,364.4670829513441,-403.55648419248166,0,60,-35595.348626017825
355.77659019247596,2.827056970072262,15.0,0.01628903513177683,4009.878338276266,162.89035131776828,7,249.68650364855068,-401.9878338276266,0,61,-35997.33645984545
357.13879700965543,1.1914183678358354,15.0,0.016408176968560412,4033.1237858206823,164.08176968560412,2,71.1553180384952,-404.3123785820683,0,62,-36401.64883842752
354.1187816223184,2.4491611386574905,15.0,0.01665309308242616,3981.412748212958,166.53093082426162,8,285.71103760772434,-399.14127482129584,0,63,-36800.79011324882
354.74781123092555,2.154081991297759,15.0,0.01686850128155594,3992.2365236701967,168.6850128155594,6,212.47126897339103,-400.22365236701967,0,64,-37201.01376561584
351.8673448797104,2.4961161118620163,15.0,0.017118112892742142,3942.4382746854562,171.1811289274214,8,283.79824898474044,-395.24382746854565,0,65,-37596.25759308439
352.8541778865265,1.6362869995119633,15.0,0.017281741592693335,3959.5666188394857,172.81741592693336,4,140.74693795188418,-396.9566618839486,0,66,-37993.214254968334
354.0229831758573,0.876426765370932,15.0,0.017369384269230428,3979.761854168618,173.6938426923043,3,105.85625336595794,-398.9761854168618,0,67,-38392.190440385195
355.3771875978943,0.3969525209989617,15.0,0.017409079521330324,4003.0381301243865,174.09079521330324,2,70.80459663517146,-401.3038130124387,0,68,-38793.494253397635
356.37132294863477,1.7399865513055501,15.0,0.01758307817646088,4020.0430682084443,175.8307817646088,4,142.15087503915774,-403.0043068208445,0,69,-39196.49856021848
353.39630282635784,2.4338083484477453,15.0,0.017826459011305654,3968.9460098495365,178.26459011305653,8,285.0970583589078,-397.8946009849537,0,70,-39594.393161203436
354.56692870936945,1.2534611656257262,15.0,0.017951805127868228,3989.1269493440054,179.51805127868226,3,106.01889084790734,-399.9126949344006,0,71,-39994.305856137835
356.28837988944855,-1.483501466892878,15.0,0.01780345498117894,4018.6269493440054,178.0345498117894,0,0.0,-502.86269493440057,0,72,-40497.16855107224
357.8373906325509,2.7727238270078782,15.0,0.018080727363879726,4044.995174484777,180.80727363879726,1,35.62883798894486,-405.4995174484777,0,73,-40902.66806852072
358.8363966370059,1.8280478847338992,15.0,0.018263532152353115,4061.9136118301367,182.63532152353116,4,143.13495625302036,-407.19136118301367,0,74,-41309.859429703734
360.02476077477024,0.9481186345362801,15.0,0.018358344015806743,4081.9510960508187,183.58344015806745,3,107.65091899110178,-409.1951096050819,0,75,-41719.05453930882
