episode,epsilon,total_reward,steps,exit_reason
0,1,-40731.05756493245,91,terminated
1,1,-34102.28707882455,82,terminated
2,1,-37933.660234144096,84,terminated
3,1,-36944.74903806121,84,terminated
4,1,-34984.460114245754,80,terminated
5,1,-37822.03544913532,88,terminated
6,1,-42821.505263206,94,terminated
7,1,-39883.36942121301,89,terminated
8,1,-35887.19250140797,86,terminated
9,1,-40645.94796303135,90,terminated
10,1,-41940.91421087511,92,terminated
11,0.9860940917766235,-39568.94563651373,92,terminated
12,0.9450531310740419,-38107.64797221121,85,terminated
13,0.9057202836939499,-35407.87052182588,85,terminated
14,0.8662897111227629,-39117.65343119361,89,terminated
15,0.8285757502707601,-42605.891525630286,89,terminated
16,0.7889445260811917,-48707.55806527944,98,terminated
17,0.7587605570173169,-35730.275228380575,78,terminated
18,0.7293665208022085,-34590.074822399634,79,terminated
19,0.703218215413184,-31517.91811828139,73,terminated
20,0.672603579332449,-33623.75439957445,89,terminated
