episode,action,ghost_action,step,total_reward
3,10,10,59,-59.0
3,10,10,60,-60.0
3,10,10,61,-61.0
4,10,10,0,0
4,10,10,1,-1.0
4,10,10,2,-2.0
4,10,10,3,-3.0
4,10,10,4,-4.0
4,10,10,5,-5.0
4,10,10,6,-6.0
4,10,10,7,-7.0
4,10,10,8,-8.0
4,10,10,9,-9.0
4,10,10,10,-10.0
4,10,10,11,-11.0
4,10,10,12,-12.0
4,10,10,13,-13.0
4,10,10,14,-14.0
4,10,10,15,-15.0
4,10,10,16,-16.0
4,10,10,17,-17.0
4,10,10,18,-18.0
4,10,10,19,-19.0
4,10,10,20,-20.0
4,10,10,21,-21.0
4,8,8,22,-22.0
4,8,8,23,-23.0
4,8,8,24,-24.0
4,8,8,25,-25.0
4,8,8,26,-26.0
4,8,8,27,-27.0
4,8,8,28,-28.0
4,8,8,29,-29.0
4,8,8,30,-30.0
4,10,10,31,-31.0
4,10,10,32,-32.0
4,10,10,33,-33.0
4,10,10,34,-34.0
4,10,10,35,-35.0
4,10,10,36,-36.0
4,10,10,37,-37.0
4,10,10,38,-38.0
4,10,10,39,-39.0
4,10,10,40,-40.0
4,10,10,41,-41.0
4,10,10,42,-42.0
4,10,10,43,-43.0
4,10,10,44,-44.0
4,10,10,45,-45.0
4,10,10,46,-46.0
4,10,10,47,-47.0
4,10,10,48,-48.0
4,10,10,49,-49.0
4,10,10,50,-50.0
4,10,10,51,-51.0
4,10,10,52,-52.0
4,10,10,53,-53.0
4,10,10,54,-54.0
4,10,10,55,-55.0
4,10,10,56,-56.0
4,10,10,57,-57.0
4,10,10,58,-58.0
4,10,10,59,-59.0
4,10,10,60,-60.0
4,10,10,61,-61.0
5,10,10,0,0
5,10,10,1,-1.0
5,10,10,2,-2.0
5,10,10,3,-3.0
5,10,10,4,-4.0
5,10,10,5,-5.0
5,10,10,6,-6.0
5,10,10,7,-7.0
5,10,10,8,-8.0
5,10,10,9,-9.0
5,10,10,10,-10.0
5,10,10,11,-11.0
5,10,10,12,-12.0
5,10,10,13,-13.0
5,10,10,14,-14.0
5,10,10,15,-15.0
5,10,10,16,-16.0
5,10,10,17,-17.0
5,10,10,18,-18.0
5,10,10,19,-19.0
5,10,10,20,-20.0
5,10,10,21,-21.0
5,8,8,22,-22.0
5,8,8,23,-23.0
5,8,8,24,-24.0
5,8,8,25,-25.0
5,8,8,26,-26.0
5,8,8,27,-27.0
5,8,8,28,-28.0
5,8,8,29,-29.0
5,8,8,30,-30.0
5,10,10,31,-31.0
5,10,10,32,-32.0
5,10,10,33,-33.0
5,10,10,34,-34.0
5,10,10,35,-35.0
5,10,10,36,-36.0
5,10,10,37,-37.0
5,10,10,38,-38.0
5,10,10,39,-39.0
5,10,10,40,-40.0
5,10,10,41,-41.0
5,10,10,42,-42.0
5,10,10,43,-43.0
5,10,10,44,-44.0
5,10,10,45,-45.0
5,10,10,46,-46.0
5,10,10,47,-47.0
5,10,10,48,-48.0
5,10,10,49,-49.0
5,10,10,50,-50.0
5,10,10,51,-51.0
5,10,10,52,-52.0
5,10,10,53,-53.0
5,10,10,54,-54.0
5,10,10,55,-55.0
5,10,10,56,-56.0
5,10,10,57,-57.0
5,10,10,58,-58.0
5,10,10,59,-59.0
5,10,10,60,-60.0
5,10,10,61,-61.0
6,10,10,0,0
6,10,10,1,-1.0
6,10,10,2,-2.0
6,10,10,3,-3.0
6,10,10,4,-4.0
6,10,10,5,-5.0
6,10,10,6,-6.0
6,10,10,7,-7.0
6,10,10,8,-8.0
6,10,10,9,-9.0
6,10,10,10,-10.0
6,10,10,11,-11.0
6,10,10,12,-12.0
6,10,10,13,-13.0
6,10,10,14,-14.0
6,10,10,15,-15.0
6,10,10,16,-16.0
6,10,10,17,-17.0
6,10,10,18,-18.0
6,10,10,19,-19.0
6,10,10,20,-20.0
6,10,10,21,-21.0
6,8,8,22,-22.0
6,8,8,23,-23.0
6,8,8,24,-24.0
6,8,8,25,-25.0
6,8,8,26,-26.0
6,8,8,27,-27.0
6,8,8,28,-28.0
6,8,8,29,-29.0
6,8,8,30,-30.0
6,10,10,31,-31.0
6,10,10,32,-32.0
6,10,10,33,-33.0
6,10,10,34,-34.0
6,10,10,35,-35.0
6,10,10,36,-36.0
6,10,10,37,-37.0
6,10,10,38,-38.0
6,10,10,39,-39.0
6,10,10,40,-40.0
6,10,10,41,-41.0
6,10,10,42,-42.0
6,10,10,43,-43.0
6,10,10,44,-44.0
6,10,10,45,-45.0
6,10,10,46,-46.0
6,10,10,47,-47.0
6,10,10,48,-48.0
6,10,10,49,-49.0
6,10,10,50,-50.0
6,10,10,51,-51.0
6,10,10,52,-52.0
6,10,10,53,-53.0
6,10,10,54,-54.0
6,10,10,55,-55.0
6,10,10,56,-56.0
6,10,10,57,-57.0
6,10,10,58,-58.0
6,10,10,59,-59.0
6,10,10,60,-60.0
6,10,10,61,-61.0
7,10,10,0,0
7,10,10,1,-1.0
7,10,10,2,-2.0
7,10,10,3,-3.0
7,10,10,4,-4.0
7,10,10,5,-5.0
7,10,10,6,-6.0
7,10,10,7,-7.0
7,10,10,8,-8.0
7,10,10,9,-9.0
7,10,10,10,-10.0
7,10,10,11,-11.0
7,10,10,12,-12.0
7,10,10,13,-13.0
7,10,10,14,-14.0
7,10,10,15,-15.0
7,10,10,16,-16.0
7,10,10,17,-17.0
7,10,10,18,-18.0
7,10,10,19,-19.0
7,10,10,20,-20.0
7,10,10,21,-21.0
7,8,8,22,-22.0
7,8,8,23,-23.0
7,8,8,24,-24.0
7,8,8,25,-25.0
7,8,8,26,-26.0
7,8,8,27,-27.0
7,8,8,28,-28.0
7,8,8,29,-29.0
7,8,8,30,-30.0
7,10,10,31,-31.0
7,10,10,32,-32.0
7,10,10,33,-33.0
7,10,10,34,-34.0
7,10,10,35,-35.0
7,10,10,36,-36.0
7,10,10,37,-37.0
7,10,10,38,-38.0
7,10,10,39,-39.0
7,10,10,40,-40.0
7,10,10,41,-41.0
7,10,10,42,-42.0
7,10,10,43,-43.0
7,10,10,44,-44.0
7,10,10,45,-45.0
7,10,10,46,-46.0
7,10,10,47,-47.0
7,10,10,48,-48.0
7,10,10,49,-49.0
7,10,10,50,-50.0
7,10,10,51,-51.0
7,10,10,52,-52.0
7,10,10,53,-53.0
7,10,10,54,-54.0
7,10,10,55,-55.0
7,10,10,56,-56.0
7,10,10,57,-57.0
7,10,10,58,-58.0
7,10,10,59,-59.0
7,10,10,60,-60.0
7,10,10,61,-61.0
8,10,10,0,0
8,10,10,1,-1.0
8,10,10,2,-2.0
8,10,10,3,-3.0
8,10,10,4,-4.0
8,10,10,5,-5.0
8,10,10,6,-6.0
8,10,10,7,-7.0
8,10,10,8,-8.0
8,10,10,9,-9.0
8,10,10,10,-10.0
8,10,10,11,-11.0
8,10,10,12,-12.0
8,10,10,13,-13.0
8,10,10,14,-14.0
8,10,10,15,-15.0
8,10,10,16,-16.0
8,10,10,17,-17.0
8,10,10,18,-18.0
8,10,10,19,-19.0
8,10,10,20,-20.0
8,10,10,21,-21.0
8,8,8,22,-22.0
8,8,8,23,-23.0
8,8,8,24,-24.0
8,8,8,25,-25.0
8,8,8,26,-26.0
8,8,8,27,-27.0
8,8,8,28,-28.0
8,8,8,29,-29.0
8,8,8,30,-30.0
8,10,10,31,-31.0
8,10,10,32,-32.0
8,10,10,33,-33.0
8,10,10,34,-34.0
8,10,10,35,-35.0
8,10,10,36,-36.0
8,10,10,37,-37.0
8,10,10,38,-38.0
8,10,10,39,-39.0
8,10,10,40,-40.0
8,10,10,41,-41.0
8,10,10,42,-42.0
8,10,10,43,-43.0
8,10,10,44,-44.0
8,10,10,45,-45.0
8,10,10,46,-46.0
8,10,10,47,-47.0
8,10,10,48,-48.0
8,10,10,49,-49.0
8,10,10,50,-50.0
8,10,10,51,-51.0
8,10,10,52,-52.0
8,10,10,53,-53.0
8,10,10,54,-54.0
8,10,10,55,-55.0
8,10,10,56,-56.0
8,10,10,57,-57.0
8,10,10,58,-58.0
8,10,10,59,-59.0
8,10,10,60,-60.0
8,10,10,61,-61.0
9,10,10,0,0
9,10,10,1,-1.0
9,10,10,2,-2.0
9,10,10,3,-3.0
9,10,10,4,-4.0
9,10,10,5,-5.0
9,10,10,6,-6.0
9,10,10,7,-7.0
9,10,10,8,-8.0
9,10,10,9,-9.0
9,10,10,10,-10.0
9,10,10,11,-11.0
9,10,10,12,-12.0
9,10,10,13,-13.0
9,10,10,14,-14.0
9,10,10,15,-15.0
9,10,10,16,-16.0
9,10,10,17,-17.0
9,10,10,18,-18.0
9,10,10,19,-19.0
9,10,10,20,-20.0
9,10,10,21,-21.0
9,8,8,22,-22.0
9,8,8,23,-23.0
9,8,8,24,-24.0
9,8,8,25,-25.0
9,8,8,26,-26.0
9,8,8,27,-27.0
9,8,8,28,-28.0
9,8,8,29,-29.0
9,8,8,30,-30.0
9,10,10,31,-31.0
9,10,10,32,-32.0
9,10,10,33,-33.0
9,10,10,34,-34.0
9,10,10,35,-35.0
9,10,10,36,-36.0
9,10,10,37,-37.0
9,10,10,38,-38.0
9,10,10,39,-39.0
9,10,10,40,-40.0
9,10,10,41,-41.0
9,10,10,42,-42.0
9,10,10,43,-43.0
9,10,10,44,-44.0
9,10,10,45,-45.0
9,10,10,46,-46.0
9,10,10,47,-47.0
9,10,10,48,-48.0
9,10,10,49,-49.0
9,10,10,50,-50.0
9,10,10,51,-51.0
9,10,10,52,-52.0
9,10,10,53,-53.0
9,10,10,54,-54.0
9,10,10,55,-55.0
9,10,10,56,-56.0
9,10,10,57,-57.0
9,10,10,58,-58.0
9,10,10,59,-59.0
9,10,10,60,-60.0
9,10,10,61,-61.0
10,10,10,0,0
10,10,10,1,-1.0
10,10,10,2,-2.0
10,10,10,3,-3.0
10,10,10,4,-4.0
10,10,10,5,-5.0
10,10,10,6,-6.0
10,10,10,7,-7.0
10,10,10,8,-8.0
10,10,10,9,-9.0
10,10,10,10,-10.0
10,10,10,11,-11.0
10,10,10,12,-12.0
10,10,10,13,-13.0
10,10,10,14,-14.0
10,10,10,15,-15.0
10,10,10,16,-16.0
10,10,10,17,-17.0
10,10,10,18,-18.0
10,10,10,19,-19.0
10,10,10,20,-20.0
10,10,10,21,-21.0
10,8,8,22,-22.0
10,8,8,23,-23.0
10,8,8,24,-24.0
10,8,8,25,-25.0
10,8,8,26,-26.0
10,8,8,27,-27.0
10,8,8,28,-28.0
10,8,8,29,-29.0
10,8,8,30,-30.0
10,10,10,31,-31.0
10,10,10,32,-32.0
10,10,10,33,-33.0
10,10,10,34,-34.0
10,10,10,35,-35.0
10,10,10,36,-36.0
10,10,10,37,-37.0
10,10,10,38,-38.0
10,10,10,39,-39.0
10,10,10,40,-40.0
10,10,10,41,-41.0
10,10,10,42,-42.0
10,10,10,43,-43.0
10,10,10,44,-44.0
10,10,10,45,-45.0
10,10,10,46,-46.0
10,10,10,47,-47.0
10,10,10,48,-48.0
10,10,10,49,-49.0
10,10,10,50,-50.0
10,10,10,51,-51.0
10,10,10,52,-52.0
10,10,10,53,-53.0
10,10,10,54,-54.0
10,10,10,55,-55.0
10,10,10,56,-56.0
10,10,10,57,-57.0
10,10,10,58,-58.0
10,10,10,59,-59.0
10,10,10,60,-60.0
10,10,10,61,-61.0
11,10,10,0,0
11,10,10,1,-1.0
11,10,10,2,-2.0
11,10,10,3,-3.0
11,10,10,4,-4.0
11,10,10,5,-5.0
11,10,10,6,-6.0
11,10,10,7,-7.0
11,10,10,8,-8.0
11,10,10,9,-9.0
11,10,10,10,-10.0
11,10,10,11,-11.0
11,10,10,12,-12.0
11,10,10,13,-13.0
11,10,10,14,-14.0
11,10,10,15,-15.0
11,10,10,16,-16.0
11,10,10,17,-17.0
11,10,10,18,-18.0
11,10,10,19,-19.0
11,10,10,20,-20.0
11,10,10,21,-21.0
11,8,8,22,-22.0
11,8,8,23,-23.0
11,8,8,24,-24.0
11,8,8,25,-25.0
11,8,8,26,-26.0
11,8,8,27,-27.0
11,8,8,28,-28.0
11,8,8,29,-29.0
11,8,8,30,-30.0
11,10,10,31,-31.0
11,10,10,32,-32.0
11,10,10,33,-33.0
11,10,10,34,-34.0
11,10,10,35,-35.0
11,10,10,36,-36.0
11,10,10,37,-37.0
11,10,10,38,-38.0
11,10,10,39,-39.0
11,10,10,40,-40.0
11,10,10,41,-41.0
11,10,10,42,-42.0
11,10,10,43,-43.0
11,10,10,44,-44.0
11,10,10,45,-45.0
11,10,10,46,-46.0
11,10,10,47,-47.0
11,10,10,48,-48.0
11,10,10,49,-49.0
11,10,10,50,-50.0
11,10,10,51,-51.0
11,10,10,52,-52.0
11,10,10,53,-53.0
11,10,10,54,-54.0
11,10,10,55,-55.0
11,10,10,56,-56.0
11,10,10,57,-57.0
11,10,10,58,-58.0
11,10,10,59,-59.0
11,10,10,60,-60.0
11,10,10,61,-61.0
12,10,10,0,0
12,10,10,1,-1.0
12,10,10,2,-2.0
12,10,10,3,-3.0
12,10,10,4,-4.0
12,10,10,5,-5.0
12,10,10,6,-6.0
12,10,10,7,-7.0
12,10,10,8,-8.0
12,10,10,9,-9.0
12,10,10,10,-10.0
12,10,10,11,-11.0
12,10,10,12,-12.0
12,10,10,13,-13.0
12,10,10,14,-14.0
12,10,10,15,-15.0
12,10,10,16,-16.0
12,10,10,17,-17.0
12,10,10,18,-18.0
12,10,10,19,-19.0
12,10,10,20,-20.0
12,10,10,21,-21.0
12,8,8,22,-22.0
12,8,8,23,-23.0
12,8,8,24,-24.0
12,8,8,25,-25.0
12,8,8,26,-26.0
12,8,8,27,-27.0
12,8,8,28,-28.0
12,8,8,29,-29.0
12,8,8,30,-30.0
12,10,10,31,-31.0
12,10,10,32,-32.0
12,10,10,33,-33.0
12,10,10,34,-34.0
12,10,10,35,-35.0
12,10,10,36,-36.0
12,10,10,37,-37.0
12,10,10,38,-38.0
12,10,10,39,-39.0
12,10,10,40,-40.0
12,10,10,41,-41.0
12,10,10,42,-42.0
12,10,10,43,-43.0
12,10,10,44,-44.0
12,10,10,45,-45.0
12,10,10,46,-46.0
12,10,10,47,-47.0
12,10,10,48,-48.0
12,10,10,49,-49.0
12,10,10,50,-50.0
12,10,10,51,-51.0
12,10,10,52,-52.0
12,10,10,53,-53.0
12,10,10,54,-54.0
12,10,10,55,-55.0
12,10,10,56,-56.0
12,10,10,57,-57.0
12,10,10,58,-58.0
12,10,10,59,-59.0
12,10,10,60,-60.0
12,10,10,61,-61.0
13,10,10,0,0
13,10,10,1,-1.0
13,10,10,2,-2.0
13,10,10,3,-3.0
13,10,10,4,-4.0
13,10,10,5,-5.0
13,10,10,6,-6.0
13,10,10,7,-7.0
13,10,10,8,-8.0
13,10,10,9,-9.0
13,10,10,10,-10.0
13,10,10,11,-11.0
13,10,10,12,-12.0
13,10,10,13,-13.0
13,10,10,14,-14.0
13,10,10,15,-15.0
13,10,10,16,-16.0
13,10,10,17,-17.0
13,10,10,18,-18.0
13,10,10,19,-19.0
13,10,10,20,-20.0
13,10,10,21,-21.0
13,8,8,22,-22.0
13,8,8,23,-23.0
13,8,8,24,-24.0
13,8,8,25,-25.0
13,8,8,26,-26.0
13,8,8,27,-27.0
13,8,8,28,-28.0
13,8,8,29,-29.0
13,8,8,30,-30.0
13,10,10,31,-31.0
13,10,10,32,-32.0
13,10,10,33,-33.0
13,10,10,34,-34.0
13,10,10,35,-35.0
13,10,10,36,-36.0
13,10,10,37,-37.0
13,10,10,38,-38.0
13,10,10,39,-39.0
13,10,10,40,-40.0
13,10,10,41,-41.0
13,10,10,42,-42.0
13,10,10,43,-43.0
13,10,10,44,-44.0
13,10,10,45,-45.0
13,10,10,46,-46.0
13,10,10,47,-47.0
13,10,10,48,-48.0
13,10,10,49,-49.0
13,10,10,50,-50.0
13,10,10,51,-51.0
13,10,10,52,-52.0
13,10,10,53,-53.0
13,10,10,54,-54.0
13,10,10,55,-55.0
13,10,10,56,-56.0
13,10,10,57,-57.0
13,10,10,58,-58.0
13,10,10,59,-59.0
13,10,10,60,-60.0
13,10,10,61,-61.0
14,10,10,0,0
14,10,10,1,-1.0
14,10,10,2,-2.0
14,10,10,3,-3.0
14,10,10,4,-4.0
14,10,10,5,-5.0
14,10,10,6,-6.0
14,10,10,7,-7.0
14,10,10,8,-8.0
14,10,10,9,-9.0
14,10,10,10,-10.0
14,10,10,11,-11.0
14,10,10,12,-12.0
14,10,10,13,-13.0
14,10,10,14,-14.0
14,10,10,15,-15.0
14,10,10,16,-16.0
14,10,10,17,-17.0
14,10,10,18,-18.0
14,10,10,19,-19.0
14,10,10,20,-20.0
14,10,10,21,-21.0
14,8,8,22,-22.0
14,8,8,23,-23.0
14,8,8,24,-24.0
14,8,8,25,-25.0
14,8,8,26,-26.0
14,8,8,27,-27.0
14,8,8,28,-28.0
14,8,8,29,-29.0
14,8,8,30,-30.0
14,10,10,31,-31.0
14,10,10,32,-32.0
14,10,10,33,-33.0
14,10,10,34,-34.0
14,10,10,35,-35.0
14,10,10,36,-36.0
14,10,10,37,-37.0
14,10,10,38,-38.0
